Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,30.73,39.49,38.31,48.11,35.40,37.57,47.31,54.65
  └─ YOY Sales Growth %,,,,,15.20%,-4.86%,23.49%,13.59%
Expenses,29.15,38.18,35.61,44.63,32.24,34.02,37.14,52.09
  └─ Material Cost %,0.00%,0.00%,0.00%,0.29%,1.55%,1.12%,0.66%,1.15%
  └─ Employee Cost %,1.92%,1.72%,1.98%,1.68%,2.26%,2.77%,2.39%,2.05%
Operating Profit,1.58,1.31,2.70,3.48,3.16,3.55,10.17,2.56
OPM %,5.14%,3.32%,7.05%,7.23%,8.93%,9.45%,21.50%,4.68%
Other Income,0.15,0.00,0.01,0.01,0.13,-0.01,0.19,1.41
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.11,-0.02,0.00,0.00
  └─ Other income normal,0.15,0.00,0.01,0.01,0.02,0.01,0.19,1.41
Interest,0.44,0.61,0.54,0.69,1.22,1.14,1.18,1.22
Depreciation,0.10,0.10,0.10,0.10,0.09,0.09,0.08,0.13
Profit before tax,1.19,0.60,2.07,2.70,1.98,2.31,9.10,2.62
Tax %,25.21%,25.00%,26.09%,21.85%,26.77%,25.97%,23.96%,41.60%
Net Profit,0.89,0.45,1.53,2.11,1.45,1.71,6.92,1.53
  └─ Minority share,0.00,0.00,0.00,0.00,0.31,0.06,-2.55,0.42
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.08,-0.02,0.00,0.00
  └─ Profit excl Excep,0.89,0.45,1.53,2.11,1.37,1.73,6.92,1.53
  └─ Profit for PE,0.89,0.45,1.53,2.11,1.68,1.79,4.37,1.95
  └─ Profit for EPS,0.89,0.45,1.53,2.11,1.76,1.77,4.37,1.95
  └─ YOY Profit Growth %,,,,,88.76%,297.78%,185.62%,-7.58%
EPS in Rs,0.09,0.05,0.15,0.21,0.16,0.16,0.39,0.17
Raw PDF,,,,,,,,
