Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.12,0.00,0.00
Expenses,0.12,0.13,0.38,-58.43,0.30,1.19,0.25,0.30,19.07,0.76,0.20
  └─ Material Cost %,,,,,,,,,29.09%,,
  └─ Employee Cost %,,,,,,,,,0.31%,,
Operating Profit,-0.12,-0.13,-0.38,58.43,-0.30,-1.19,-0.25,-0.30,43.05,-0.76,-0.20
OPM %,,,,,,,,,69.30%,,
Other Income,0.00,0.00,0.01,3.47,0.04,0.00,0.30,0.00,0.00,0.79,0.81
  └─ Exceptional items,0.00,0.00,0.00,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.01,0.01,0.04,0.00,0.30,0.00,0.00,0.79,0.81
Interest,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.13,0.00,0.00,0.00
Depreciation,0.06,0.06,0.06,0.08,0.08,0.08,0.07,0.04,0.04,0.05,0.04
Profit before tax,-0.18,-0.19,-0.43,61.82,-0.39,-1.27,-0.02,-0.47,43.01,-0.02,0.57
Tax %,0.00%,0.00%,-62.79%,0.00%,0.00%,0.00%,-1800.00%,0.00%,0.00%,0.00%,-10.53%
Net Profit,-0.19,-0.19,-0.16,61.82,-0.38,-1.27,0.33,-0.47,43.00,-0.01,0.63
  └─ Exceptional items AT,0,0,0,3,0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,-0,-0,58,-0,-1,0,-0,43,-0,1
  └─ Profit for PE,-0,-0,-0,58,-0,-1,0,-0,43,-0,1
  └─ Profit for EPS,-0,-0,-0,62,-0,-1,0,-0,43,-0,1
  └─ YOY Profit Growth %,,,,,-100%,-568%,306%,-101%,11416%,99%,91%
EPS in Rs,-0.32,-0.32,-0.27,105.12,-0.65,-2.16,0.56,-0.80,73.12,-0.02,1.07
Raw PDF,,,,,,,,,,,
