Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,6.28,8.11,6.11,7.47,157.14,35.77,15.86,15.70,11.26,44.26,1.69,7.95,9.19
  └─ YOY Sales Growth %,-91.81%,-69.57%,-55.53%,-84.03%,2402.23%,341.06%,159.57%,110.17%,-92.83%,23.73%,-89.34%,-49.36%,-18.38%
Expenses,11.26,12.76,12.40,10.69,78.28,20.42,12.48,10.92,9.03,67.66,14.28,11.06,10.53
  └─ Material Cost %,100%,89%,133%,84%,47%,42%,49%,48%,43%,137%,592%,92%,70%
  └─ Employee Cost %,43%,33%,39%,32%,2%,8%,14%,14%,19%,6%,100%,17%,14%
Operating Profit,-4.98,-4.65,-6.29,-3.22,78.86,15.35,3.38,4.78,2.23,-23.40,-12.59,-3.11,-1.34
OPM %,-79.30%,-57.34%,-102.95%,-43.11%,50.18%,42.91%,21.31%,30.45%,19.80%,-52.87%,-744.97%,-39.12%,-14.58%
Other Income,2.33,3.69,2.11,2.34,13.54,211.31,2.73,3.20,2.87,2.29,11.81,10.74,3.24
  └─ Exceptional items,0.00,-0.30,0.00,0.00,0.00,-2.74,0.00,0.00,0.00,-1.30,0.00,7.38,0.00
  └─ Other income normal,2.33,3.99,2.11,2.34,13.54,214.05,2.73,3.20,2.87,3.59,11.81,3.36,3.24
Interest,10.57,6.28,10.51,6.57,10.26,-3.27,3.61,6.14,0.68,13.07,0.52,0.28,0.43
Depreciation,0.71,0.68,0.63,0.72,0.71,0.69,0.69,0.69,0.69,0.74,0.12,0.12,0.26
Profit before tax,-13.93,-7.92,-15.32,-8.17,81.43,229.24,1.81,1.15,3.73,-34.92,-1.42,7.23,1.21
Tax %,-0.07%,-12.50%,0.00%,109.06%,22.41%,11.57%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%
Net Profit,-13.92,-6.92,-15.31,-17.08,63.18,202.72,1.81,1.14,3.73,-34.95,-1.42,7.24,1.21
  └─ Exceptional items AT,0,-0,0,0,0,-2,0,0,0,-1,0,7,0
  └─ Profit excl Excep,-14,-7,-15,-17,63,205,2,1,4,-34,-1,-0,1
  └─ Profit for PE,-14,-7,-15,-17,63,205,2,1,4,-34,-1,-0,1
  └─ Profit for EPS,-14,-7,-15,-17,63,203,2,1,4,-35,-1,7,1
  └─ YOY Profit Growth %,-633%,53%,-3%,-191%,554%,3199%,112%,107%,-94%,-116%,-178%,-112%,-68%
EPS in Rs,-1.16,-0.58,-1.28,-1.42,5.27,16.90,0.13,0.08,0.26,-2.48,-0.10,0.51,0.09
Raw PDF,,,,,,,,,,,,,
