Metric,Sep 2023
  └─ Material Cost %,57%
  └─ Employee Cost %,5%
  └─ Other income normal,0.75
  └─ Profit excl Excep,6.02
  └─ Profit for PE,6.02
  └─ Profit for EPS,6.02
