Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,79,73,105,63,94,137,128,115,116,116,114,105,91
  └─ YOY Sales Growth %,-42.20%,-43.15%,-30.21%,-33.24%,19.45%,88.44%,22.82%,81.88%,23.35%,-15.83%,-10.91%,-9.05%,-21.49%
Expenses,84,166,147,104,134,170,79,73,83,69,59,87,50
  └─ Material Cost %,13.93%,17.30%,9.32%,9.85%,11.06%,12.81%,7.51%,7.04%,7.91%,15.47%,6.73%,11.88%,14.93%
  └─ Employee Cost %,31.68%,34.75%,21.73%,34.31%,23.24%,17.49%,16.83%,14.48%,16.06%,15.82%,15.14%,16.40%,15.63%
Operating Profit,-5,-93,-42,-40,-39,-33,50,42,33,47,55,18,42
OPM %,-7%,-128%,-40%,-63%,-42%,-24%,39%,37%,28%,41%,48%,17%,46%
Other Income,11,18,14,12,12,10,25,158,4,5,2,3,8
  └─ Exceptional items,0.00,-2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,11.44,20.43,14.21,11.70,12.18,9.99,24.93,158.18,4.05,5.15,1.82,2.85,8.43
Interest,275,287,276,265,274,277,273,277,279,280,280,289,3
Depreciation,12,11,21,23,22,31,33,33,27,25,24,25,25
Profit before tax,-282,-373,-325,-316,-324,-330,-231,-110,-270,-253,-246,-293,22
Tax %,2%,2%,2%,0%,1%,3%,3%,5%,2%,3%,3%,5%,-36%
Net Profit,-287,-381,-333,-318,-327,-340,-238,-115,-277,-260,-253,-307,30
  └─ Profit from Associates,0,0,0,0,-0,-1,-0,-0,-0,-0,0,0,-0
  └─ Exceptional items AT,0,-2,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-287,-378,-333,-318,-327,-340,-238,-115,-277,-260,-253,-307,30
  └─ Profit for PE,-287,-378,-333,-318,-327,-340,-238,-115,-277,-260,-253,-307,30
  └─ Profit for EPS,-287,-381,-333,-318,-327,-340,-238,-115,-277,-260,-253,-307,30
  └─ YOY Profit Growth %,12%,72%,-57%,-8%,-14%,10%,29%,64%,15%,24%,-6%,-167%,111%
EPS in Rs,-49.24,-65.21,-57.10,-54.43,-55.99,-58.28,-40.72,-19.76,-47.38,-44.52,-43.32,-52.68,5.06
Raw PDF,,,,,,,,,,,,,
