Metric,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012
Sales,3.10,4.93,4.22,4.66,6.19,3.20,4.92,4.47,6.37,4.02,3.55,4.21,7.58
  └─ YOY Sales Growth %,,,,335.51%,99.68%,-35.09%,16.59%,-4.08%,2.91%,25.62%,-27.85%,-5.82%,19.00%
Expenses,2.75,4.29,3.62,4.02,5.43,2.82,4.25,3.87,5.55,3.33,2.78,3.28,6.78
  └─ Material Cost %,80%,78%,78%,80%,81%,75%,77%,76%,78%,71%,69%,70%,81%
  └─ Employee Cost %,1%,1%,1%,1%,2%,3%,1%,2%,1%,2%,3%,2%,1%
Operating Profit,0.35,0.64,0.60,0.64,0.76,0.38,0.67,0.60,0.82,0.69,0.77,0.93,0.80
OPM %,11.29%,12.98%,14.22%,13.73%,12.28%,11.88%,13.62%,13.42%,12.87%,17.16%,21.69%,22.09%,10.55%
Other Income,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,0.15,0.29,0.28,0.29,0.28,0.28,0.30,0.29,0.45,0.52,0.52,0.54,0.54
Depreciation,0.01,0.03,0.02,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.03
Profit before tax,0.19,0.32,0.30,0.32,0.46,0.05,0.34,0.27,0.34,0.14,0.22,0.35,0.23
Tax %,36.84%,34.38%,33.33%,31.25%,34.78%,40.00%,29.41%,33.33%,29.41%,28.57%,27.27%,31.43%,30.43%
Net Profit,0.12,0.21,0.20,0.22,0.30,0.03,0.24,0.18,0.24,0.10,0.16,0.24,0.16
  └─ Profit excl Excep,0.12,0.21,0.20,0.22,0.30,0.03,0.24,0.18,0.24,0.10,0.16,0.24,0.16
  └─ Profit for PE,0.12,0.21,0.20,0.22,0.30,0.03,0.24,0.18,0.24,0.10,0.16,0.24,0.16
  └─ Profit for EPS,0.12,0.21,0.20,0.22,0.30,0.03,0.24,0.18,0.24,0.10,0.16,0.24,0.16
  └─ YOY Profit Growth %,,,,1000.00%,150.00%,-85.71%,20.00%,-18.18%,-20.00%,233.33%,-33.33%,33.33%,-33.33%
EPS in Rs,0.23,0.41,0.39,0.43,0.58,0.06,0.47,0.35,0.47,0.19,0.31,0.25,0.17
Raw PDF,,,,,,,,,,,,,
