Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,31,24,27,27,103,125,121,164,198
  └─ YOY Sales Growth %,,,,,236%,416%,355%,518%,92%
Expenses,26,21,21,21,91,114,109,149,177
  └─ Material Cost %,25%,17%,19%,16%,67%,71%,67%,73%,69%
  └─ Employee Cost %,13%,15%,15%,15%,6%,3%,4%,2%,3%
Operating Profit,5,3,5,6,11,12,12,15,20
OPM %,16%,13%,20%,22%,11%,9%,10%,9%,10%
Other Income,0,0,0,0,1,0,1,1,1
  └─ Other income normal,0.00,0.00,0.00,0.01,0.58,0.23,0.92,0.92,0.74
Interest,0,0,0,0,1,1,1,1,1
Depreciation,2,2,2,3,3,3,3,3,4
Profit before tax,2,1,3,3,8,8,9,12,16
Tax %,13%,26%,28%,26%,19%,19%,21%,21%,23%
Net Profit,2,0,2,2,6,7,7,9,12
  └─ Profit excl Excep,2,0,2,2,6,7,7,9,12
  └─ Profit for PE,2,0,2,2,6,7,7,9,12
  └─ Profit for EPS,2,0,2,2,6,7,7,9,12
  └─ YOY Profit Growth %,,,,,207%,1231%,272%,328%,88%
EPS in Rs,0.83,0.19,0.74,0.87,2.56,2.10,2.24,3.03,3.90
Raw PDF,,,,,,,,,
