Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,43.58,49.55,57.04,45.12,28.57
Expenses,38.84,43.28,51.17,43.35,27.99
  └─ Material Cost %,50%,57%,59%,64%,52%
  └─ Employee Cost %,7%,6%,5%,6%,10%
Operating Profit,4.74,6.27,5.87,1.77,0.58
OPM %,10.88%,12.65%,10.29%,3.92%,2.03%
Other Income,0.02,0.01,0.64,1.41,1.51
  └─ Other income normal,0.02,0.01,0.64,1.41,1.51
Interest,0.23,0.30,0.57,0.38,0.53
Depreciation,0.38,0.45,0.48,0.41,0.97
Profit before tax,4.15,5.53,5.46,2.39,0.59
Tax %,30.84%,26.04%,27.66%,26.78%,55.93%
Net Profit,2.47,3.86,4.15,1.86,0.34
  └─ Profit from Associates,-0.40,-0.22,0.21,0.11,0.07
  └─ Profit excl Excep,2.47,3.86,4.15,1.86,0.34
  └─ Profit for PE,2.47,3.86,4.15,1.86,0.34
  └─ Profit for EPS,2.47,3.86,4.15,1.86,0.34
EPS in Rs,96.22,4.85,3.70,1.66,0.30
Raw PDF,,,,,
