Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,46.96,37.65,56.09,49.43,50.95,47.21,37.76
Expenses,42.07,36.97,44.34,45.03,45.63,46.78,39.21
  └─ Material Cost %,63%,73%,55%,68%,58%,64%,63%
  └─ Employee Cost %,9%,10%,7%,8%,14%,14%,14%
Operating Profit,4.89,0.68,11.75,4.40,5.32,0.43,-1.45
OPM %,10.41%,1.81%,20.95%,8.90%,10.44%,0.91%,-3.84%
Other Income,0.05,0.09,0.29,0.05,0.13,0.16,0.76
  └─ Other income normal,0.05,0.09,0.29,0.05,0.13,0.16,0.76
Interest,0.81,0.93,1.41,1.23,1.13,0.95,0.97
Depreciation,1.16,0.97,1.10,0.88,0.98,1.04,1.30
Profit before tax,2.97,-1.13,9.53,2.34,3.34,-1.40,-2.96
Tax %,-2.69%,9.73%,22.98%,34.62%,24.25%,7.14%,-40.20%
Net Profit,3.05,-1.25,7.34,1.53,2.52,-1.49,-1.77
  └─ Minority share,0.05,0.19,-0.21,-0.10,0.00,-0.01,-0.01
  └─ Profit excl Excep,3.05,-1.25,7.34,1.53,2.52,-1.49,-1.77
  └─ Profit for PE,3.10,-1.06,7.13,1.43,2.52,-1.50,-1.78
  └─ Profit for EPS,3.10,-1.06,7.13,1.43,2.52,-1.50,-1.78
EPS in Rs,10.33,-3.53,7.92,1.11,1.96,-1.17,-1.39
Raw PDF,,,,,,,
