Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,53.42,11.23,17.06,24.93,28.77,16.42,33.16,36.09,40.92,27.63,48.25,67.14,121.22
  └─ YOY Sales Growth %,,,,614%,-46%,46%,94%,45%,42%,68%,46%,86%,196%
Expenses,50.45,9.80,14.81,22.01,24.61,14.08,30.15,33.32,38.79,25.14,43.03,59.82,116.62
  └─ Material Cost %,-1.74%,-29.56%,-22.22%,-5.38%,-18.80%,-24.60%,-14.32%,-14.10%,5.67%,-25.48%,-10.28%,-16.99%,-14.02%
  └─ Employee Cost %,3.01%,15.23%,13.72%,2.41%,10.01%,14.13%,6.91%,5.96%,5.21%,12.31%,4.06%,3.52%,2.93%
Operating Profit,2.97,1.43,2.25,2.92,4.16,2.34,3.01,2.77,2.13,2.49,5.22,7.32,4.60
OPM %,5.56%,12.73%,13.19%,11.71%,14.46%,14.25%,9.08%,7.68%,5.21%,9.01%,10.82%,10.90%,3.79%
Other Income,0.05,0.00,0.09,0.04,-0.03,0.02,0.26,0.00,0.08,0.03,0.05,0.02,0.08
  └─ Other income normal,0.05,0.00,0.09,0.04,-0.03,0.02,0.26,0.00,0.08,0.03,0.05,0.02,0.08
Interest,0.48,0.48,0.57,0.55,0.75,0.34,0.43,0.47,1.12,0.59,0.43,0.66,1.38
Depreciation,0.34,0.41,1.64,1.12,1.71,1.23,1.26,1.26,-1.18,0.93,0.96,1.06,1.04
Profit before tax,2.20,0.54,0.13,1.29,1.67,0.79,1.58,1.04,2.27,1.00,3.88,5.62,2.26
Tax %,-1.36%,5.56%,-23.08%,0.00%,-38.92%,0.00%,1.27%,37.50%,18.50%,18.00%,38.92%,45.02%,1.33%
Net Profit,2.24,0.50,0.16,1.29,2.32,0.78,1.55,0.64,1.86,0.82,2.37,3.09,2.23
  └─ Minority share,-0.02,0.00,-0.01,0.00,0.00,0.00,-0.05,-0.07,0.00,-0.07,-0.18,-0.25,-0.06
  └─ Profit excl Excep,2.24,0.50,0.16,1.29,2.32,0.78,1.55,0.64,1.86,0.82,2.37,3.09,2.23
  └─ Profit for PE,2.22,0.50,0.15,1.29,2.32,0.78,1.50,0.57,1.86,0.75,2.19,2.84,2.17
  └─ Profit for EPS,2.22,0.50,0.15,1.29,2.32,0.78,1.50,0.57,1.86,0.75,2.19,2.84,2.17
  └─ YOY Profit Growth %,22300.00%,,,1190.00%,4.50%,56.00%,900.00%,-55.81%,-19.83%,-3.85%,46.00%,398.25%,16.67%
EPS in Rs,0.22,0.05,0.01,0.13,0.38,0.13,0.25,0.09,0.31,0.12,0.36,0.47,0.36
Raw PDF,,,,,,,,,,,,,
