Metric,Jun 2021,Jun 2022,Dec 2022,Mar 2023,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2001,1672,1751,1640,1689,1717,2365,2825,2854,2639,2872,2918,3424
  └─ YOY Sales Growth %,-13.94%,-16.42%,,,-3.56%,4.64%,,67.24%,66.23%,,21.42%,3.30%,19.99%
Expenses,1487,366,1570,966,729,2780,936,1374,1537,919,922,983,1978
  └─ Employee Cost %,2.54%,7.63%,12.50%,15.76%,17.70%,16.59%,17.47%,15.03%,14.18%,17.08%,15.80%,16.34%,12.56%
Operating Profit,514,1306,181,674,960,-1063,1429,1451,1317,1721,1949,1935,1446
OPM %,26%,78%,10%,41%,57%,-62%,60%,51%,46%,65%,68%,66%,42%
Other Income,1,95,7,-10250,-1855,249,121,58,269,129,11,96,1377
  └─ Exceptional items,0,0,0,-10257,-1863,205,0,0,0,0,-81,0,1326
  └─ Other income normal,1,95,7,7,8,44,121,58,269,129,92,96,51
Interest,48,890,834,848,928,999,1305,1364,1417,1492,1567,1646,1674
Depreciation,19,18,22,37,38,45,55,54,53,57,144,57,645
Profit before tax,448,492,-668,-10461,-1862,-1858,190,91,116,301,249,328,505
Tax %,30%,25%,-523%,-14%,-31%,-60%,14%,57%,12%,8%,-31%,-22%,1%
Net Profit,314,370,2824,-8982,-1282,-752,163,39,102,276,327,401,502
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,-0,0,0
  └─ Exceptional items AT,0,0,0,-10257,-1863,205,0,0,0,0,-81,0,1323
  └─ Profit excl Excep,314,370,2824,1275,581,-958,163,39,102,276,408,401,-821
  └─ Profit for PE,314,370,2824,1275,581,-958,163,39,102,276,408,401,-821
  └─ Profit for EPS,314,370,2824,-8982,-1282,-752,163,39,102,276,327,401,502
  └─ YOY Profit Growth %,349%,18%,,,-79%,-175%,,-93%,111%,,150%,940%,-901%
EPS in Rs,10.02,0.17,1.32,-4.20,-0.60,-0.32,0.07,0.02,0.04,0.11,14.42,17.69,22.14
Raw PDF,,,,,,,,,,,,,
