Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3171,3334,3126,3636,3154,2960,3211,3223,3370,2988,2976,2614
  └─ YOY Sales Growth %,,,,,-0.54%,-11.23%,2.73%,-11.36%,6.85%,0.97%,-7.33%,-18.91%
Expenses,2867,3002,2751,3282,2801,2615,2847,2930,2935,2660,2565,2571
  └─ Material Cost %,26%,30%,69%,72%,69%,68%,67%,68%,66%,66%,66%,67%
  └─ Employee Cost %,10%,11%,11%,9%,11%,12%,11%,12%,11%,12%,12%,14%
Operating Profit,304,332,374,355,353,344,364,294,435,329,410,43
OPM %,10%,10%,12%,10%,11%,12%,11%,9%,13%,11%,14%,2%
Other Income,50,100,56,173,59,130,121,164,49,113,-27,163
  └─ Exceptional items,0,0,0,0,0,0,0,0,0,0,-77,0
  └─ Other income normal,50,100,56,173,59,130,121,164,49,113,50,163
Interest,116,157,129,176,147,164,169,150,162,170,167,175
Depreciation,111,114,124,146,130,120,117,124,139,122,93,100
Profit before tax,128,160,178,207,135,191,200,184,183,149,123,-69
Tax %,29%,35%,39%,30%,32%,29%,26%,40%,25%,30%,21%,29%
Net Profit,91,104,110,145,92,135,149,111,137,105,97,-89
  └─ Minority share,0,-0,0,-0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-60,0
  └─ Profit excl Excep,91,104,110,145,92,135,149,111,137,105,157,-89
  └─ Profit for PE,91,104,110,145,92,135,149,111,137,105,157,-88
  └─ Profit for EPS,91,104,110,145,92,135,149,111,137,105,97,-88
  └─ YOY Profit Growth %,,,,,1%,30%,36%,-23%,50%,-22%,6%,-180%
EPS in Rs,12.64,14.47,15.24,4.25,2.69,3.97,4.05,3.02,3.74,2.87,2.64,-2.40
Raw PDF,,,,,,,,,,,,
