Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,12.00,24.77,37.53,31.71,29.38,47.15,49.27,47.55
Expenses,11.23,25.06,34.55,32.08,26.81,48.47,47.54,49.88
  └─ Material Cost %,92%,99%,91%,97%,89%,101%,95%,100%
  └─ Employee Cost %,1%,0%,0%,2%,1%,1%,0%,2%
Operating Profit,0.77,-0.29,2.98,-0.37,2.57,-1.32,1.73,-2.33
OPM %,6.42%,-1.17%,7.94%,-1.17%,8.75%,-2.80%,3.51%,-4.90%
Other Income,2.72,1.52,1.07,-0.11,0.61,2.18,0.13,3.64
  └─ Other income normal,2.72,1.52,1.07,-0.11,0.61,2.18,0.13,3.64
Interest,0.18,0.23,0.49,0.84,0.68,0.75,0.61,0.66
Depreciation,0.05,0.05,0.21,0.21,0.19,0.19,0.04,0.33
Profit before tax,3.26,0.95,3.35,-1.53,2.31,-0.08,1.21,0.32
Tax %,17.79%,22.11%,15.52%,1.96%,18.61%,225.00%,16.53%,125.00%
Net Profit,2.69,0.74,2.82,-1.57,1.88,-0.25,1.02,-0.08
  └─ Minority share,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.00
  └─ Profit excl Excep,2.69,0.74,2.82,-1.57,1.88,-0.25,1.02,-0.08
  └─ Profit for PE,2.69,0.74,2.82,-1.56,1.88,-0.26,1.02,-0.08
  └─ Profit for EPS,2.69,0.74,2.82,-1.56,1.88,-0.26,1.02,-0.08
EPS in Rs,4.56,0.52,1.46,-0.81,0.97,-0.13,0.53,-0.04
Raw PDF,,,,,,,,
