Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,531,554,586,645,617,590,559,643,548,559,614,605,576
  └─ YOY Sales Growth %,12.50%,12.16%,8.85%,13.94%,16.23%,6.43%,-4.62%,-0.32%,-11.26%,-5.15%,9.92%,-5.82%,5.25%
Expenses,456,438,434,462,445,425,438,465,465,449,476,470,472
  └─ Material Cost %,39.31%,35.79%,31.29%,28.20%,27.81%,26.61%,28.02%,26.74%,28.68%,28.55%,26.48%,27.33%,28.25%
  └─ Employee Cost %,19.37%,17.96%,18.60%,17.71%,17.67%,18.15%,20.27%,17.75%,20.12%,19.77%,19.14%,19.11%,20.09%
Operating Profit,75,116,152,183,172,164,121,177,83,111,138,135,104
OPM %,14%,21%,26%,28%,28%,28%,22%,28%,15%,20%,22%,22%,18%
Other Income,14,19,16,20,25,26,24,13,19,28,20,24,13
  └─ Other income normal,13.68,19.41,15.90,20.05,24.62,26.41,23.57,12.99,19.13,27.79,20.26,24.06,13.18
Interest,6,5,6,7,6,6,7,6,7,7,7,6,7
Depreciation,30,27,29,29,29,28,27,24,24,24,25,25,26
Profit before tax,54,104,133,167,162,157,110,160,71,108,126,129,85
Tax %,23%,24%,25%,26%,24%,25%,25%,26%,26%,25%,26%,26%,27%
Net Profit,41,79,100,124,123,118,83,118,52,81,93,96,62
  └─ Profit excl Excep,41,79,100,124,123,118,83,118,52,81,93,96,62
  └─ Profit for PE,41,79,100,124,123,118,83,118,52,81,93,96,62
  └─ Profit for EPS,41,79,100,124,123,118,83,118,52,81,93,96,62
  └─ YOY Profit Growth %,67%,154%,106%,157%,199%,50%,-18%,-5%,-57%,-31%,13%,-19%,19%
EPS in Rs,2.31,4.42,5.63,6.96,6.88,6.62,4.63,6.63,2.94,4.54,5.24,5.36,3.49
Raw PDF,,,,,,,,,,,,,
