Metric,Sep 2023,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,11.78,13.26,12.59,19.24,14.92
Expenses,6.37,7.78,10.82,12.41,10.26
  └─ Employee Cost %,35.31%,24.36%,52.90%,26.14%,27.28%
Operating Profit,5.41,5.48,1.77,6.83,4.66
OPM %,45.93%,41.33%,14.06%,35.50%,31.23%
Other Income,0.49,0.64,0.63,0.51,0.51
  └─ Other income normal,0.49,0.64,0.63,0.51,0.51
Interest,0.00,0.00,0.00,0.00,0.02
Depreciation,0.41,0.34,0.65,1.37,1.47
Profit before tax,5.49,5.78,1.75,5.97,3.68
Tax %,27.32%,26.99%,32.00%,26.63%,35.33%
Net Profit,4.00,4.24,1.18,4.46,2.42
  └─ Profit from Associates,0.00,0.03,0.00,0.07,0.04
  └─ Minority share,0.00,0.00,0.00,0.00,0.10
  └─ Profit excl Excep,4.00,4.24,1.18,4.46,2.42
  └─ Profit for PE,4.00,4.24,1.18,4.46,2.52
  └─ Profit for EPS,4.00,4.24,1.18,4.46,2.52
EPS in Rs,13.25,2.35,0.65,2.47,1.39
Raw PDF,,,,,
