Metric,Sep 2023
  └─ Material Cost %,90%
  └─ Employee Cost %,1%
  └─ Other income normal,0.47
  └─ Profit excl Excep,1.55
  └─ Profit for PE,1.55
  └─ Profit for EPS,1.55
