Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,17535,18819,21863,17324,18585,21847,26098
  └─ YOY Sales Growth %,,,,,5.99%,16.09%,19.37%
Expenses,15828,16786,19432,15248,16553,19260,22771
  └─ Material Cost %,67%,67%,67%,66%,67%,68%,69%
  └─ Employee Cost %,8%,7%,6%,8%,8%,7%,6%
Operating Profit,1707,2033,2431,2076,2032,2587,3327
OPM %,10%,11%,11%,12%,11%,12%,13%
Other Income,206,407,72,332,-1865,-981,-28
  └─ Exceptional items,-34,-24,-259,-10,-2037,-1347,-452
  └─ Other income normal,240,431,331,342,172,366,424
Interest,408,352,319,254,256,198,166
Depreciation,541,557,592,480,472,483,510
Profit before tax,964,1531,1592,1674,-561,925,2623
Tax %,48%,12%,16%,17%,55%,24%,32%
Net Profit,498,1355,1340,1397,-867,705,1793
  └─ Exceptional items AT,-18,-21,-218,-8,-1731,-1127,-309
  └─ Profit excl Excep,516,1376,1558,1405,864,1832,2102
  └─ Profit for PE,516,1376,1558,1405,864,1832,2102
  └─ Profit for EPS,498,1355,1340,1397,-867,705,1793
  └─ YOY Profit Growth %,,,,,68%,33%,35%
EPS in Rs,,,,,,1.91,4.87
Raw PDF,,,,,,,
