Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,21.74,27.61,38.86,40.59,30.93,36.71
Expenses,17.60,23.84,31.11,31.88,24.87,31.44
  └─ Material Cost %,59%,59%,61%,55%,59%,66%
  └─ Employee Cost %,6%,6%,6%,6%,9%,7%
Operating Profit,4.14,3.77,7.75,8.71,6.06,5.27
OPM %,19.04%,13.65%,19.94%,21.46%,19.59%,14.36%
Other Income,0.39,0.80,0.72,1.79,0.80,2.19
  └─ Other income normal,0.39,0.80,0.72,1.79,0.80,2.19
Interest,0.03,0.00,0.07,0.03,0.05,0.09
Depreciation,0.37,0.48,0.92,1.23,1.23,1.34
Profit before tax,4.13,4.09,7.48,9.24,5.58,6.03
Tax %,24.70%,29.83%,24.73%,25.65%,22.22%,31.34%
Net Profit,3.11,2.86,5.63,6.88,4.33,4.14
  └─ Minority share,0.00,0.00,-0.09,-0.06,-0.08,-0.14
  └─ Profit excl Excep,3.11,2.86,5.63,6.88,4.33,4.14
  └─ Profit for PE,3.11,2.86,5.54,6.82,4.25,4.00
  └─ Profit for EPS,3.11,2.86,5.54,6.82,4.25,4.00
EPS in Rs,3.90,2.63,5.10,6.28,3.91,3.68
Raw PDF,,,,,,
