Metric,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,90.88,38.77,33.17,31.88,90.06
  └─ YOY Sales Growth %,,,,,-0.90%
Expenses,81.64,32.08,26.39,24.74,81.27
  └─ Material Cost %,38%,33%,24%,21%,52%
  └─ Employee Cost %,11%,26%,34%,35%,13%
Operating Profit,9.24,6.69,6.78,7.14,8.79
OPM %,10.17%,17.26%,20.44%,22.40%,9.76%
Other Income,0.22,0.07,0.01,0.08,0.39
  └─ Other income normal,0.22,0.07,0.01,0.08,0.39
Interest,1.72,1.77,1.71,1.58,1.40
Depreciation,0.65,1.31,1.47,1.69,1.43
Profit before tax,7.09,3.68,3.61,3.95,6.35
Tax %,25.95%,25.27%,24.93%,24.56%,27.72%
Net Profit,5.25,2.75,2.71,2.97,4.59
  └─ Profit excl Excep,5.25,2.75,2.71,2.97,4.59
  └─ Profit for PE,5.25,2.75,2.71,2.97,4.59
  └─ Profit for EPS,5.25,2.75,2.71,2.97,4.59
  └─ YOY Profit Growth %,,,,,-12.57%
EPS in Rs,5.07,2.66,2.62,2.52,3.90
Raw PDF,,,,,
