Metric,Jun 2018,Mar 2019,Jun 2019
Revenue,0.56,0.52,0.61
  └─ YOY Sales Growth %,,,8.93%
Interest,0.34,0.34,0.28
Expenses,0.26,0.16,0.11
  └─ Employee Cost %,26.79%,17.31%,11.48%
Financing Profit,-0.04,0.02,0.22
Financing Margin %,-7.14%,3.85%,36.07%
Other Income,0.26,0.02,0.01
  └─ Other income normal,0.26,0.02,0.01
Depreciation,0.11,0.10,0.09
Profit before tax,0.11,-0.06,0.14
Tax %,0.00%,-150.00%,0.00%
Net Profit,0.11,0.03,0.14
  └─ Profit excl Excep,0.11,0.03,0.14
  └─ Profit for PE,0.11,0.03,0.14
  └─ Profit for EPS,0.11,0.03,0.14
  └─ YOY Profit Growth %,,,27.27%
EPS in Rs,0.01,0.00,0.01
Gross NPA %,,,
Net NPA %,,,
Raw PDF,,,
