Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,17.54,15.33,14.75,15.70,31.60
Expenses,12.51,11.10,11.07,11.37,26.79
  └─ Material Cost %,54%,62%,42%,53%,70%
  └─ Employee Cost %,10%,8%,13%,11%,7%
Operating Profit,5.03,4.23,3.68,4.33,4.81
OPM %,28.68%,27.59%,24.95%,27.58%,15.22%
Other Income,0.08,0.63,0.00,0.15,0.50
  └─ Other income normal,0.08,0.63,0.00,0.15,0.50
Interest,0.34,0.26,0.27,0.44,0.05
Depreciation,0.34,0.35,0.80,0.71,0.68
Profit before tax,4.43,4.25,2.61,3.33,4.58
Tax %,26.86%,19.53%,34.48%,13.51%,28.82%
Net Profit,3.25,3.41,1.71,2.88,3.26
  └─ Minority share,0.00,0.00,-0.01,0.07,0.14
  └─ Profit excl Excep,3.25,3.41,1.71,2.88,3.26
  └─ Profit for PE,3.25,3.41,1.70,2.95,3.40
  └─ Profit for EPS,3.25,3.41,1.70,2.95,3.40
EPS in Rs,5.78,5.58,2.78,4.83,5.41
Raw PDF,,,,,
