Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,10.19,11.72,21.77,25.27,48.95
Expenses,8.75,10.17,19.57,22.66,43.37
  └─ Material Cost %,54%,55%,72%,70%,80%
  └─ Employee Cost %,18%,17%,11%,9%,5%
Operating Profit,1.44,1.55,2.20,2.61,5.58
OPM %,14.13%,13.23%,10.11%,10.33%,11.40%
Other Income,0.02,0.04,0.11,0.02,0.09
  └─ Other income normal,0.02,0.04,0.11,0.02,0.09
Interest,0.16,0.35,0.99,1.02,1.35
Depreciation,0.07,0.10,0.14,0.12,0.20
Profit before tax,1.23,1.14,1.18,1.49,4.12
Tax %,33.33%,22.81%,28.81%,32.21%,31.80%
Net Profit,0.83,0.88,0.84,1.02,2.81
  └─ Profit excl Excep,0.83,0.88,0.84,1.02,2.81
  └─ Profit for PE,0.83,0.88,0.84,1.02,2.81
  └─ Profit for EPS,0.83,0.88,0.84,1.02,2.81
EPS in Rs,3.58,3.80,3.62,4.40,12.12
Raw PDF,,,,,
