Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2271,1652,2080,2088,2110,2021,1917,1899,2055,1601,1968,1996,2208
  └─ YOY Sales Growth %,-18.07%,-38.72%,-19.60%,-21.89%,-7.09%,22.34%,-7.84%,-9.05%,-2.61%,-20.78%,2.66%,5.11%,7.45%
Expenses,1902,1547,1911,2004,1965,1868,1827,1767,1815,1570,1783,1815,1726
  └─ Material Cost %,45.88%,53.03%,55.05%,59.96%,58.34%,57.99%,61.82%,55.40%,54.55%,52.53%,55.03%,54.91%,47.15%
  └─ Employee Cost %,7.27%,8.11%,8.17%,7.38%,7.91%,7.37%,6.68%,7.58%,7.06%,9.12%,6.91%,6.71%,5.62%
Operating Profit,369,105,169,84,145,153,90,132,240,31,185,181,482
OPM %,16%,6%,8%,4%,7%,8%,5%,7%,12%,2%,9%,9%,22%
Other Income,123,88,152,121,108,99,123,157,122,150,127,97,125
  └─ Other income normal,123,88,152,121,108,99,123,157,122,150,127,97,125
Interest,1,1,1,7,4,17,2,3,1,2,1,1,2
Depreciation,74,76,78,76,78,78,76,75,74,74,81,73,79
Profit before tax,417,116,242,122,171,157,135,211,287,105,230,204,526
Tax %,20%,27%,26%,22%,26%,27%,24%,25%,27%,26%,23%,26%,25%
Net Profit,336,88,182,97,130,118,105,163,211,83,179,150,396
  └─ Profit from Associates,2,3,4,2,3,3,3,5,1,5,2,0,4
  └─ Profit excl Excep,336,88,182,97,130,118,105,163,211,83,179,150,396
  └─ Profit for PE,336,88,182,97,130,118,105,163,211,83,179,150,396
  └─ Profit for EPS,336,88,182,97,130,118,105,163,211,83,179,150,396
  └─ YOY Profit Growth %,-48%,-85%,-24%,-70%,-61%,34%,-42%,68%,62%,-30%,70%,-8%,88%
EPS in Rs,21.62,5.66,11.71,6.60,8.85,8.03,7.15,11.09,14.36,5.65,12.18,10.21,26.95
Raw PDF,,,,,,,,,,,,,
