Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,631,573,1026,1194,1134,1110,1106,1453
  └─ YOY Sales Growth %,,,,,79.67%,93.72%,7.79%,21.73%
Expenses,519,501,941,970,891,875,901,1218
  └─ Material Cost %,71%,75%,83%,69%,69%,67%,69%,72%
  └─ Employee Cost %,4%,5%,3%,3%,3%,4%,3%,3%
Operating Profit,111,72,85,224,242,235,205,234
OPM %,18%,13%,8%,19%,21%,21%,19%,16%
Other Income,6,11,12,8,4,16,15,18
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-5.62,0.00
  └─ Other income normal,6.22,10.52,11.79,7.54,4.20,15.90,20.23,18.20
Interest,45,34,28,48,32,32,40,57
Depreciation,37,37,39,42,34,35,37,57
Profit before tax,36,11,30,141,181,184,143,139
Tax %,36%,36%,36%,36%,26%,30%,31%,21%
Net Profit,23,7,19,91,133,128,98,110
  └─ Exceptional items AT,0,0,0,0,0,0,-4,0
  └─ Profit excl Excep,23,7,19,91,133,128,102,110
  └─ Profit for PE,23,7,19,91,133,128,102,110
  └─ Profit for EPS,23,7,19,91,133,128,98,110
  └─ YOY Profit Growth %,,,,,484%,1646%,436%,22%
EPS in Rs,0.72,0.23,0.60,2.86,4.21,3.55,2.71,3.05
Raw PDF,,,,,,,,
