Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,66,60,72,72,76,77
Expenses,59,57,61,63,64,66
  └─ Material Cost %,72%,73%,68%,68%,66%,63%
  └─ Employee Cost %,6%,8%,6%,7%,7%,7%
Operating Profit,7,3,11,10,12,11
OPM %,10%,5%,15%,13%,16%,14%
Other Income,4,5,0,0,0,0
  └─ Other income normal,3.51,5.08,0.07,0.13,0.16,0.35
Interest,2,2,2,4,1,4
Depreciation,2,2,2,2,3,3
Profit before tax,7,4,6,3,7,4
Tax %,29%,36%,27%,19%,25%,28%
Net Profit,5,3,4,2,6,3
  └─ Profit excl Excep,4.88,2.65,4.46,2.50,5.50,2.54
  └─ Profit for PE,4.88,2.65,4.46,2.50,5.50,2.54
  └─ Profit for EPS,4.88,2.65,4.46,2.50,5.50,2.54
EPS in Rs,3.81,1.51,2.54,1.28,2.83,1.30
Raw PDF,,,,,,
