Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,106.46,112.87,100.34,117.43,124.77,136.95,122.91,138.46,142.44,147.71,125.02,143.03,134.08
  └─ YOY Sales Growth %,,-12.39%,3.56%,5.91%,17.20%,21.33%,22.49%,17.91%,14.16%,7.86%,1.72%,3.30%,-5.87%
Expenses,87.73,86.42,81.77,96.58,102.12,115.74,100.07,115.14,116.74,124.00,101.39,118.76,108.00
  └─ Employee Cost %,3.95%,3.43%,4.10%,3.53%,3.40%,3.34%,3.93%,4.13%,4.25%,4.27%,5.00%,4.71%,3.77%
Operating Profit,18.73,26.45,18.57,20.85,22.65,21.21,22.84,23.32,25.70,23.71,23.63,24.27,26.08
OPM %,17.59%,23.43%,18.51%,17.76%,18.15%,15.49%,18.58%,16.84%,18.04%,16.05%,18.90%,16.97%,19.45%
Other Income,0.74,1.67,0.42,0.54,0.50,24.10,0.78,1.10,0.76,0.20,0.65,1.99,1.11
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,13.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.74,1.67,0.42,0.54,0.50,10.16,0.78,1.10,0.76,0.20,0.65,1.99,1.11
Interest,8.45,7.48,7.24,7.01,7.06,6.80,6.63,6.76,6.41,6.04,6.16,7.95,8.16
Depreciation,8.82,8.67,9.09,9.71,9.57,10.01,10.37,10.60,12.12,10.31,11.12,11.74,11.94
Profit before tax,2.20,11.97,2.66,4.67,6.52,28.50,6.62,7.06,7.93,7.56,7.00,6.57,7.09
Tax %,11.82%,23.39%,21.43%,37.47%,32.82%,19.75%,21.30%,23.80%,30.39%,30.95%,28.86%,22.68%,23.84%
Net Profit,1.35,11.07,2.53,1.72,4.80,22.87,5.21,5.38,5.51,5.23,4.97,5.08,5.40
  └─ Profit from Associates,-0.59,1.90,0.45,-1.20,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,11.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,1.35,11.07,2.53,1.72,4.80,11.68,5.21,5.38,5.51,5.23,4.97,5.08,5.40
  └─ Profit for PE,1.35,11.07,2.53,1.72,4.80,11.68,5.21,5.38,5.51,5.23,4.97,5.08,5.40
  └─ Profit for EPS,1.35,11.07,2.53,1.72,4.80,22.87,5.21,5.38,5.51,5.23,4.97,5.08,5.40
  └─ YOY Profit Growth %,,-55.52%,6225.00%,91.11%,255.56%,5.51%,105.93%,212.79%,14.79%,-55.22%,-4.61%,-5.58%,-2.00%
EPS in Rs,0.92,7.58,1.73,1.18,3.29,13.45,3.06,3.11,2.98,2.80,2.66,2.72,2.89
Raw PDF,,,,,,,,,,,,,
