Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,27.04,31.25,40.90,56.82,89.87,45.80,62.57,59.27,68.48,78.89,102.14
  └─ YOY Sales Growth %,,,,,232%,47%,53%,4%,-24%,72%,63%
Expenses,24.09,27.47,34.64,51.50,80.96,42.06,56.11,52.28,61.29,70.85,88.22
  └─ Material Cost %,76%,76%,73%,82%,84%,79%,78%,76%,77%,78%,76%
  └─ Employee Cost %,6%,5%,5%,3%,3%,5%,4%,4%,4%,4%,4%
Operating Profit,2.95,3.78,6.26,5.32,8.91,3.74,6.46,6.99,7.19,8.04,13.92
OPM %,10.91%,12.10%,15.31%,9.36%,9.91%,8.17%,10.32%,11.79%,10.50%,10.19%,13.63%
Other Income,0.27,0.34,0.33,0.50,0.43,0.87,0.90,0.59,0.77,0.85,0.78
  └─ Other income normal,0.27,0.34,0.33,0.50,0.43,0.87,0.90,0.59,0.77,0.85,0.78
Interest,0.37,0.40,0.34,0.33,0.68,0.67,0.54,0.44,0.74,0.92,1.04
Depreciation,0.17,0.20,0.19,0.15,0.19,0.23,0.30,0.36,0.40,0.42,0.46
Profit before tax,2.68,3.52,6.06,5.34,8.47,3.71,6.52,6.78,6.82,7.55,13.20
Tax %,25.37%,29.26%,25.74%,25.09%,25.86%,25.34%,25.31%,25.81%,25.07%,25.70%,25.23%
Net Profit,2.00,2.50,4.50,4.01,6.28,2.76,4.87,5.04,5.11,5.62,9.87
  └─ Profit excl Excep,2,2,4,4,6,3,5,5,5,6,10
  └─ Profit for PE,2,2,4,4,6,3,5,5,5,6,10
  └─ Profit for EPS,2,2,4,4,6,3,5,5,5,6,10
  └─ YOY Profit Growth %,,,,,214%,10%,8%,26%,-19%,104%,103%
EPS in Rs,2.06,2.58,4.64,3.86,6.04,2.65,4.68,4.85,4.91,5.40,9.53
Raw PDF,,,,,,,,,,,
