Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,331,343,314,300,400,461,336,363,507
  └─ YOY Sales Growth %,,,,,20.78%,34.32%,6.87%,21.00%,26.91%
Expenses,289,299,272,260,351,403,293,318,443
  └─ Material Cost %,77%,78%,76%,76%,79%,80%,77%,77%,79%
  └─ Employee Cost %,5%,3%,4%,4%,3%,3%,4%,4%,3%
Operating Profit,42,45,42,40,49,58,43,45,64
OPM %,13%,13%,13%,13%,12%,12%,13%,12%,13%
Other Income,1,1,1,0,0,1,1,1,9
  └─ Other income normal,1.15,1.02,0.94,0.48,0.45,1.38,0.90,1.49,9.38
Interest,10,11,10,12,12,12,13,14,14
Depreciation,10,12,12,13,14,14,16,18,17
Profit before tax,24,23,22,15,23,32,14,16,42
Tax %,29%,23%,27%,27%,26%,27%,27%,26%,28%
Net Profit,17,18,16,11,17,24,10,12,30
  └─ Profit excl Excep,17,18,16,11,17,24,10,12,30
  └─ Profit for PE,17,18,16,11,17,24,10,12,30
  └─ Profit for EPS,17,18,16,11,17,24,10,12,30
  └─ YOY Profit Growth %,,,,,3%,35%,-34%,3%,75%
EPS in Rs,5.81,5.66,5.09,3.63,5.57,7.62,3.36,3.74,9.72
Raw PDF,,,,,,,,,
