Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,317,287,333,336,341,330,417,398,370,353,445,445,460
  └─ YOY Sales Growth %,49.20%,21.09%,6.27%,9.65%,7.61%,14.99%,25.48%,18.49%,8.50%,6.88%,6.55%,11.90%,24.26%
Expenses,219,199,215,218,236,236,270,264,255,249,296,298,315
  └─ Material Cost %,13.48%,13.37%,12.70%,12.71%,12.30%,12.86%,12.38%,13.50%,12.71%,13.46%,13.99%,13.54%,12.39%
  └─ Employee Cost %,12.81%,15.18%,12.24%,12.93%,14.20%,14.84%,12.88%,12.39%,14.68%,14.63%,13.21%,13.48%,13.71%
Operating Profit,98,88,118,118,106,94,147,134,115,104,149,147,145
OPM %,31%,31%,35%,35%,31%,28%,35%,34%,31%,29%,33%,33%,31%
Other Income,9,8,8,9,13,12,11,13,15,20,8,11,4
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.54
  └─ Other income normal,8.90,7.86,7.82,8.61,12.78,11.93,11.27,13.27,14.53,20.02,8.20,10.51,5.06
Interest,14,15,13,14,17,18,18,18,18,18,19,20,20
Depreciation,23,25,27,28,32,34,35,35,34,34,36,40,41
Profit before tax,70,56,85,85,69,53,105,94,77,71,102,98,87
Tax %,23%,25%,26%,26%,26%,26%,25%,27%,27%,25%,26%,24%,10%
Net Profit,54,42,63,63,51,40,79,69,57,54,76,74,78
  └─ Minority share,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-1
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,-1
  └─ Profit excl Excep,54,42,63,63,51,40,79,69,57,54,76,74,79
  └─ Profit for PE,54,41,63,62,51,40,79,69,56,54,75,73,78
  └─ Profit for EPS,54,41,63,62,51,40,79,69,56,54,75,73,77
  └─ YOY Profit Growth %,340%,7%,3%,7%,-5%,-4%,25%,11%,11%,35%,-5%,6%,39%
EPS in Rs,5.28,4.04,6.20,6.12,5.02,3.89,7.77,6.76,5.55,5.27,7.41,7.14,7.59
Raw PDF,,,,,,,,,,,,,
