Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,120.33,129.96,116.48,123.38,94.43,113.84,119.11,149.54
  └─ YOY Sales Growth %,,,,,-21.52%,-12.40%,2.26%,21.20%
Expenses,105.60,122.62,112.16,112.02,88.90,106.02,111.64,142.45
  └─ Employee Cost %,20.72%,9.72%,13.26%,9.78%,12.93%,12.12%,10.59%,7.63%
Operating Profit,14.73,7.34,4.32,11.36,5.53,7.82,7.47,7.09
OPM %,12.24%,5.65%,3.71%,9.21%,5.86%,6.87%,6.27%,4.74%
Other Income,0.37,1.42,1.53,0.97,1.82,0.65,1.95,1.79
  └─ Other income normal,0.37,1.42,1.53,0.97,1.82,0.65,1.95,1.79
Interest,0.60,0.66,0.69,0.62,0.58,0.54,0.67,0.71
Depreciation,2.43,2.47,2.53,2.50,2.50,2.51,2.57,2.65
Profit before tax,12.07,5.63,2.63,9.21,4.27,5.42,6.18,5.52
Tax %,26.01%,23.80%,37.26%,22.37%,24.12%,25.28%,24.92%,25.54%
Net Profit,8.94,4.29,1.65,7.15,3.25,4.06,4.64,4.11
  └─ Profit excl Excep,8.94,4.29,1.65,7.15,3.25,4.06,4.64,4.11
  └─ Profit for PE,8.94,4.29,1.65,7.15,3.25,4.06,4.64,4.11
  └─ Profit for EPS,8.94,4.29,1.65,7.15,3.25,4.06,4.64,4.11
  └─ YOY Profit Growth %,,,,,-63.65%,-5.36%,181.21%,-42.52%
EPS in Rs,2.81,1.35,0.52,2.24,1.02,1.27,1.38,1.22
Raw PDF,,,,,,,,
