Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,0.28,0.21,4.76,0.90,1.75,0.41,2.95,1.40,0.31,0.14,1.42,0.14,0.00
  └─ YOY Sales Growth %,-95%,-93%,215%,-73%,525%,95%,-38%,56%,-82%,-66%,-52%,-90%,-100%
Expenses,0.57,1.43,1.05,1.35,1.11,1.74,0.59,0.23,0.35,3.77,0.56,0.25,0.10
  └─ Material Cost %,121.43%,523.81%,18.28%,83.33%,45.71%,63.41%,15.25%,2.14%,61.29%,185.71%,24.65%,42.86%,
  └─ Employee Cost %,7.14%,14.29%,0.42%,7.78%,2.29%,46.34%,1.02%,2.86%,6.45%,64.29%,2.11%,14.29%,
Operating Profit,-0.29,-1.22,3.71,-0.45,0.64,-1.33,2.36,1.17,-0.04,-3.63,0.86,-0.11,-0.10
OPM %,-103.57%,-580.95%,77.94%,-50.00%,36.57%,-324.39%,80.00%,83.57%,-12.90%,-2592.86%,60.56%,-78.57%,
Other Income,0.20,0.17,0.15,0.16,0.04,0.29,0.15,0.15,0.12,0.15,0.10,0.09,0.09
  └─ Other income normal,0.20,0.17,0.15,0.16,0.04,0.29,0.15,0.15,0.12,0.15,0.10,0.09,0.09
Interest,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,-0.09,-1.04,3.84,-0.29,0.68,-1.04,2.51,1.32,0.08,-3.48,0.96,-0.02,-0.01
Tax %,0.00%,-13.46%,35.16%,-155.17%,7.35%,-10.58%,25.10%,26.52%,-375.00%,-17.24%,25.00%,0.00%,-1100.00%
Net Profit,-0.09,-0.90,2.49,0.16,0.64,-0.93,1.88,0.97,0.38,-2.88,0.71,-0.02,0.10
  └─ Minority share,0,0,0,0,-0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,-1,2,0,1,-1,2,1,0,-3,1,-0,0
  └─ Profit for PE,-0,-1,2,0,1,-1,2,1,0,-3,1,-0,0
  └─ Profit for EPS,-0,-1,2,0,1,-1,2,1,0,-3,1,-0,0
  └─ YOY Profit Growth %,-108%,-600%,592%,-88%,800%,-3%,-24%,506%,-40%,-210%,-62%,-102%,-74%
EPS in Rs,-0.03,-0.30,0.83,0.05,0.21,-0.31,0.63,0.32,0.13,-0.96,0.24,-0.01,0.03
Raw PDF,,,,,,,,,,,,,
