Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,114.54,67.40,38.52,56.89,106.03,151.33,84.67,76.84,118.98,141.43,76.07,31.03,32.65
  └─ YOY Sales Growth %,303%,-32%,-17%,-21%,-7%,125%,120%,35%,12%,-7%,-10%,-60%,-73%
Expenses,97.16,47.81,30.30,51.23,85.59,138.33,71.24,66.41,99.43,133.39,64.78,24.48,25.78
  └─ Employee Cost %,2.85%,8.72%,12.72%,9.00%,5.04%,4.14%,7.89%,9.42%,6.82%,7.13%,12.11%,-12.50%,7.29%
Operating Profit,17.38,19.59,8.22,5.66,20.44,13.00,13.43,10.43,19.55,8.04,11.29,6.55,6.87
OPM %,15.17%,29.07%,21.34%,9.95%,19.28%,8.59%,15.86%,13.57%,16.43%,5.68%,14.84%,21.11%,21.04%
Other Income,0.55,0.31,0.14,0.90,0.09,2.48,0.17,0.69,0.50,5.51,0.50,1.51,2.00
  └─ Other income normal,0.55,0.31,0.14,0.90,0.09,2.48,0.17,0.69,0.50,5.51,0.50,1.51,2.00
Interest,2.34,7.50,2.37,3.20,4.30,4.71,4.15,4.29,6.28,4.75,4.94,3.45,5.21
Depreciation,1.27,1.58,1.99,2.00,2.06,2.06,2.14,2.04,2.39,2.29,2.28,2.35,1.29
Profit before tax,14.32,10.82,4.00,1.36,14.17,8.71,7.31,4.79,11.38,6.51,4.57,2.26,2.37
Tax %,25.70%,97.97%,30.25%,27.94%,24.70%,36.74%,27.36%,21.50%,27.42%,58.22%,26.26%,24.34%,27.43%
Net Profit,10.64,0.21,2.80,0.98,10.68,5.50,5.31,3.75,8.26,2.72,3.37,1.71,1.71
  └─ Profit excl Excep,11,0,3,1,11,6,5,4,8,3,3,2,2
  └─ Profit for PE,11,0,3,1,11,6,5,4,8,3,3,2,2
  └─ Profit for EPS,11,0,3,1,11,6,5,4,8,3,3,2,2
  └─ YOY Profit Growth %,624%,362%,289%,44%,0%,2519%,90%,283%,-23%,-51%,-37%,-54%,-79%
EPS in Rs,4.44,0.09,1.17,0.41,4.45,2.29,2.21,1.56,3.44,1.13,1.40,0.66,0.66
Raw PDF,,,,,,,,,,,,,
