Metric,Dec 2021
Sales,6896.91
Expenses,9946.49
  └─ Material Cost %,7.28%
  └─ Employee Cost %,9.74%
Operating Profit,-3049.58
OPM %,-44.22%
Other Income,13655.63
  └─ Other income normal,13656
Interest,9599.42
Depreciation,1888.61
Profit before tax,-881.98
Tax %,30.76%
Net Profit,-1153.26
  └─ Profit excl Excep,-1153
  └─ Profit for PE,-1153
  └─ Profit for EPS,-1153
EPS in Rs,-1152.78
Raw PDF,
