Metric,Mar 2014,Dec 2014,Mar 2015
Sales,11.49,8.60,12.64
  └─ YOY Sales Growth %,,,10.01%
Expenses,9.71,8.16,10.94
  └─ Material Cost %,46%,49%,53%
  └─ Employee Cost %,4%,4%,3%
Operating Profit,1.78,0.44,1.70
OPM %,15.49%,5.12%,13.45%
Other Income,0.02,0.03,0.04
  └─ Other income normal,0.02,0.03,0.04
Interest,0.22,0.23,0.21
Depreciation,0.30,0.36,0.24
Profit before tax,1.28,-0.12,1.29
Tax %,17.97%,-25.00%,5.43%
Net Profit,1.06,-0.09,1.22
  └─ Profit excl Excep,1.06,-0.09,1.22
  └─ Profit for PE,1.06,-0.09,1.22
  └─ Profit for EPS,1.06,-0.09,1.22
  └─ YOY Profit Growth %,,,15.09%
EPS in Rs,0.90,-0.08,1.03
Raw PDF,,,
