Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,672,569,744,506,125,754,760,818,754,781,817,774,584
  └─ YOY Sales Growth %,150.41%,-24.20%,5.02%,-27.51%,-81.40%,32.59%,2.14%,61.54%,504.08%,3.49%,7.60%,-5.40%,-22.56%
Expenses,620,487,659,450,98,656,693,739,718,687,740,689,539
  └─ Material Cost %,76%,67%,68%,71%,53%,72%,73%,75%,78%,71%,73%,72%,74%
  └─ Employee Cost %,3%,3%,3%,4%,10%,2%,3%,3%,3%,3%,3%,3%,4%
Operating Profit,51,82,85,56,27,98,67,79,37,93,77,84,45
OPM %,8%,14%,11%,11%,22%,13%,9%,10%,5%,12%,9%,11%,8%
Other Income,7,11,12,14,-36,14,6,12,14,29,37,12,16
  └─ Exceptional items,0.00,0.00,0.00,0.00,-48.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,7.40,10.55,12.50,13.71,12.30,14.04,6.00,11.96,14.34,29.28,36.53,12.07,15.74
Interest,7,5,8,8,21,12,11,21,12,12,7,5,5
Depreciation,10,10,10,9,9,9,10,9,9,10,14,10,10
Profit before tax,41,78,80,52,-40,91,53,61,30,101,92,82,46
Tax %,39%,34%,34%,36%,-39%,31%,33%,37%,35%,34%,34%,34%,36%
Net Profit,25,51,53,33,-24,63,35,38,19,67,61,54,29
  └─ Exceptional items AT,0,0,0,0,-48,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,25,51,53,33,24,63,35,38,19,67,61,54,29
  └─ Profit for PE,25,51,53,33,24,63,35,38,19,67,61,54,29
  └─ Profit for EPS,25,51,53,33,-24,63,35,38,19,67,61,54,29
  └─ YOY Profit Growth %,393%,-28%,-54%,-63%,-6%,22%,-33%,16%,-19%,7%,74%,40%,51%
EPS in Rs,1.25,2.52,2.58,1.63,-1.19,3.07,1.73,1.89,0.96,3.28,3.01,2.66,1.45
Raw PDF,,,,,,,,,,,,,
