Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,0.70,0.29,0.41,0.52,0.19,1.82,0.61,3.95,1.56,5.00,1.28,5.27,2.67
Expenses,1.06,0.71,0.62,0.48,0.59,1.40,0.90,3.42,2.15,4.16,1.76,4.61,2.90
  └─ Material Cost %,0.00%,-6.90%,4.88%,0.00%,0.00%,0.00%,-13.11%,-1.01%,-0.64%,-1.40%,4.69%,-1.90%,6.37%
  └─ Employee Cost %,25.71%,82.76%,60.98%,48.08%,142.11%,17.03%,62.30%,18.23%,52.56%,19.60%,78.12%,19.73%,42.32%
Operating Profit,-0.36,-0.42,-0.21,0.04,-0.40,0.42,-0.29,0.53,-0.59,0.84,-0.48,0.66,-0.23
OPM %,-51.43%,-144.83%,-51.22%,7.69%,-210.53%,23.08%,-47.54%,13.42%,-37.82%,16.80%,-37.50%,12.52%,-8.61%
Other Income,0.07,0.06,-0.32,0.03,0.06,0.03,0.25,0.13,0.10,0.32,0.22,0.41,0.17
  └─ Exceptional items,-0.03,0.00,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.10,0.06,0.07,0.03,0.06,0.03,0.25,0.13,0.10,0.32,0.22,0.41,0.17
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.02,0.03,0.03,0.02,0.03,0.09
Profit before tax,-0.36,-0.42,-0.59,0.02,-0.39,0.40,-0.10,0.64,-0.52,1.13,-0.28,1.04,-0.15
Tax %,-27.78%,0.00%,-8.47%,50.00%,0.00%,0.00%,20.00%,25.00%,-19.23%,7.96%,17.86%,10.58%,-20.00%
Net Profit,-0.26,-0.42,-0.54,0.01,-0.39,0.39,-0.11,0.47,-0.42,1.05,-0.33,0.94,-0.12
  └─ Minority share,0.00,0.01,0.00,0.00,0.00,0.00,-0.02,-0.04,-0.05,-0.07,-0.10,-0.12,-0.15
  └─ Exceptional items AT,-0.03,0.00,-0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-0.23,-0.42,-0.16,0.01,-0.39,0.39,-0.11,0.47,-0.42,1.05,-0.33,0.94,-0.12
  └─ Profit for PE,-0.23,-0.41,-0.16,0.01,-0.39,0.39,-0.13,0.43,-0.47,0.98,-0.43,0.82,-0.27
  └─ Profit for EPS,-0.26,-0.41,-0.54,0.01,-0.39,0.39,-0.13,0.43,-0.47,0.98,-0.43,0.82,-0.27
EPS in Rs,-0.43,-0.67,-0.89,0.02,-0.64,0.64,-0.21,0.70,-0.77,1.61,-0.70,1.34,-0.44
Raw PDF,,,,,,,,,,,,,
