Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,339.92,384.78,403.68,391.46,397.17,433.09,423.70,348.15
  └─ YOY Sales Growth %,,,,,16.84%,12.56%,4.96%,-11.06%
Expenses,313.41,354.31,372.50,363.47,368.72,403.45,394.71,322.37
  └─ Material Cost %,89%,89%,89%,89%,90%,90%,90%,88%
  └─ Employee Cost %,2%,2%,2%,2%,2%,2%,2%,2%
Operating Profit,26.51,30.47,31.18,27.99,28.45,29.64,28.99,25.78
OPM %,7.80%,7.92%,7.72%,7.15%,7.16%,6.84%,6.84%,7.40%
Other Income,0.18,0.06,0.47,0.90,1.10,0.22,0.45,0.45
  └─ Other income normal,0.18,0.06,0.47,0.90,1.10,0.22,0.45,0.45
Interest,10.47,9.86,9.47,9.85,9.70,9.46,11.02,9.03
Depreciation,7.92,8.65,8.01,8.63,8.32,8.42,7.64,7.25
Profit before tax,8.30,12.02,14.17,10.41,11.53,11.98,10.78,9.95
Tax %,42.41%,45.92%,45.80%,53.22%,20.47%,26.46%,27.83%,24.52%
Net Profit,4.79,6.50,9.59,7.35,9.16,9.62,7.93,8.93
  └─ Profit from Associates,0.01,0.00,1.91,2.47,0.00,0.81,0.15,1.43
  └─ Profit excl Excep,4.79,6.50,9.59,7.35,9.16,9.62,7.93,8.93
  └─ Profit for PE,4.79,6.50,9.59,7.35,9.16,9.62,7.93,8.93
  └─ Profit for EPS,4.79,6.50,9.59,7.35,9.16,9.62,7.93,8.93
  └─ YOY Profit Growth %,,,,,91.23%,48.00%,-17.31%,21.50%
EPS in Rs,0.24,0.33,0.49,0.37,0.44,0.39,0.32,0.36
Raw PDF,,,,,,,,
