Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,203.45,228.93,264.98,342.27,290.65,269.48,267.78,271.36,270.21,288.95,288.71
  └─ YOY Sales Growth %,,,,,42.86%,17.71%,1.06%,-20.72%,-7.03%,7.23%,7.82%
Expenses,196.02,220.55,265.70,343.60,286.87,317.15,324.28,312.81,285.70,282.25,278.61
  └─ Employee Cost %,12.42%,12.42%,13.54%,11.45%,15.00%,16.47%,16.09%,15.46%,13.08%,14.36%,15.97%
Operating Profit,7.43,8.38,-0.72,-1.33,3.78,-47.67,-56.50,-41.45,-15.49,6.70,10.10
OPM %,3.65%,3.66%,-0.27%,-0.39%,1.30%,-17.69%,-21.10%,-15.27%,-5.73%,2.32%,3.50%
Other Income,3.38,2.45,6.58,3.56,3.02,4.99,10.74,10.25,-2.71,8.27,3.55
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.83,0.00,-3.77
  └─ Other income normal,3.38,2.45,6.58,3.56,3.02,4.99,10.74,10.25,9.12,8.27,7.32
Interest,4.54,4.59,5.20,6.58,6.98,7.07,6.66,7.83,7.21,7.23,5.10
Depreciation,1.02,1.05,1.30,2.00,3.14,3.44,4.29,2.86,3.17,3.69,4.07
Profit before tax,5.25,5.19,-0.64,-6.35,-3.32,-53.19,-56.71,-41.89,-28.58,4.05,4.48
Tax %,0.57%,-1.73%,4.69%,4.25%,8.13%,3.95%,-1.18%,0.10%,0.14%,0.00%,2.23%
Net Profit,5.23,5.27,-0.67,-6.62,-3.59,-55.28,-56.04,-41.92,-28.62,4.05,4.38
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-12,0,-4
  └─ Profit excl Excep,5,5,-1,-7,-4,-55,-56,-42,-17,4,8
  └─ Profit for PE,5,5,-1,-7,-4,-55,-56,-42,-17,4,8
  └─ Profit for EPS,5,5,-1,-7,-4,-55,-56,-42,-29,4,4
  └─ YOY Profit Growth %,,,,,-169%,-1149%,-8264%,-533%,-368%,107%,114%
EPS in Rs,0.91,0.92,-0.12,-1.16,-0.63,-7.12,-7.21,-5.36,-3.64,0.51,0.56
Raw PDF,,,,,,,,,,,
