Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,33.05,23.75,34.99,21.14,24.34,29.79,35.41,17.17,39.50,28.69,38.83,19.65,23.14
  └─ YOY Sales Growth %,68.88%,-40.18%,-16.93%,-27.00%,-26.35%,25.43%,1.20%,-18.78%,62.28%,-3.69%,9.66%,14.44%,-41.42%
Expenses,34.89,24.79,33.21,20.37,24.33,29.09,30.67,16.74,38.86,29.09,38.93,18.99,22.20
  └─ Material Cost %,105%,103%,95%,96%,99%,97%,84%,96%,97%,100%,99%,96%,95%
  └─ Employee Cost %,0%,1%,0%,1%,0%,1%,1%,1%,0%,1%,1%,1%,0%
Operating Profit,-1.84,-1.04,1.78,0.77,0.01,0.70,4.74,0.43,0.64,-0.40,-0.10,0.66,0.94
OPM %,-5.57%,-4.38%,5.09%,3.64%,0.04%,2.35%,13.39%,2.50%,1.62%,-1.39%,-0.26%,3.36%,4.06%
Other Income,0.05,0.04,0.09,0.12,0.03,0.05,0.07,0.06,0.07,0.07,0.63,0.08,0.10
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00
  └─ Other income normal,0.05,0.04,0.09,0.12,0.03,0.05,0.07,0.06,0.07,0.07,0.08,0.08,0.10
Interest,1.07,0.87,0.82,0.75,1.33,1.12,-0.05,0.61,0.65,0.78,0.82,0.89,1.03
Depreciation,0.21,0.19,0.12,0.14,0.14,0.14,0.19,0.15,0.15,0.15,0.15,0.11,0.11
Profit before tax,-3.07,-2.06,0.93,0.00,-1.43,-0.51,4.67,-0.27,-0.09,-1.26,-0.44,-0.26,-0.10
Tax %,-0.65%,-83.50%,41.94%,,0.00%,0.00%,18.84%,-3.70%,11.11%,0.00%,-102.27%,0.00%,0.00%
Net Profit,-3.05,-0.34,0.54,0.01,-1.43,-0.50,3.80,-0.25,-0.10,-1.26,0.01,-0.26,-0.10
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00
  └─ Profit excl Excep,-3.05,-0.34,0.54,0.01,-1.43,-0.50,3.80,-0.25,-0.10,-1.26,-0.45,-0.26,-0.10
  └─ Profit for PE,-3.05,-0.34,0.54,0.01,-1.43,-0.50,3.80,-0.25,-0.10,-1.26,-0.45,-0.26,-0.10
  └─ Profit for EPS,-3.05,-0.34,0.54,0.01,-1.43,-0.50,3.80,-0.25,-0.10,-1.26,0.01,-0.26,-0.10
  └─ YOY Profit Growth %,-947.22%,-585.71%,2600.00%,100.59%,53.11%,-47.06%,603.70%,-2600.00%,93.01%,-152.00%,-111.84%,-4.00%,0.00%
EPS in Rs,-4.37,-0.49,0.77,0.01,-2.05,-0.72,5.44,-0.36,-0.13,-1.61,0.01,-0.33,-0.13
Raw PDF,,,,,,,,,,,,,
