Metric,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,16.20,18.62,6.66,7.70,5.91,4.07,5.93,4.74,9.02,6.27,7.69,8.40
  └─ YOY Sales Growth %,,,,,-64%,-78%,-11%,-38%,53%,54%,30%,77%
Expenses,14.35,15.74,7.52,9.11,6.32,4.10,6.13,4.77,9.81,6.18,6.67,7.67
  └─ Material Cost %,35.06%,41.78%,50.75%,48.96%,36.72%,44.72%,37.10%,32.49%,44.90%,32.38%,22.63%,36.19%
  └─ Employee Cost %,1.91%,3.44%,14.11%,9.09%,9.31%,11.06%,8.77%,11.39%,6.10%,7.81%,5.72%,5.83%
Operating Profit,1.85,2.88,-0.86,-1.41,-0.41,-0.03,-0.20,-0.03,-0.79,0.09,1.02,0.73
OPM %,11.42%,15.47%,-12.91%,-18.31%,-6.94%,-0.74%,-3.37%,-0.63%,-8.76%,1.44%,13.26%,8.69%
Other Income,0.44,1.58,2.08,0.12,0.49,0.45,0.21,0.06,4.78,0.49,0.11,0.53
  └─ Exceptional items,0.01,1.52,1.40,0.02,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.43,0.06,0.68,0.10,0.49,0.45,0.16,0.06,4.78,0.49,0.11,0.53
Interest,0.18,0.17,0.16,0.15,0.12,0.11,0.13,0.13,0.12,0.11,0.10,0.09
Depreciation,0.89,0.91,0.91,0.91,0.91,0.90,0.90,0.71,1.00,0.86,0.90,0.73
Profit before tax,1.22,3.38,0.15,-2.35,-0.95,-0.59,-1.02,-0.81,2.87,-0.39,0.13,0.44
Tax %,29.51%,59.47%,-226.67%,-27.66%,-91.58%,-23.73%,10.78%,-20.99%,-8.71%,-43.59%,-84.62%,84.09%
Net Profit,0.86,1.38,0.49,-1.70,-0.09,-0.45,-1.12,-0.64,3.12,-0.23,0.24,0.07
  └─ Exceptional items AT,0,1,1,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,1,-1,-2,-0,-0,-1,-1,3,-0,0,0
  └─ Profit for PE,1,1,-1,-2,-0,-0,-1,-1,3,-0,0,0
  └─ Profit for EPS,1,1,0,-2,-0,-0,-1,-1,3,-0,0,0
  └─ YOY Profit Growth %,,,,,-110%,-159%,-27%,63%,3567%,49%,121%,111%
EPS in Rs,0.37,0.59,0.21,-0.73,-0.04,-0.19,-0.48,-0.28,1.34,-0.10,0.10,0.03
Raw PDF,,,,,,,,,,,,
