Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019
Sales,24.71,22.29,17.65,26.47,30.52,15.93,35.38
  └─ YOY Sales Growth %,,,,,24%,-29%,100%
Expenses,22.59,20.40,17.04,25.82,29.84,15.79,36.04
  └─ Material Cost %,90%,86%,93%,96%,96%,96%,97%
  └─ Employee Cost %,1%,1%,1%,0%,0%,1%,0%
Operating Profit,2.12,1.89,0.61,0.65,0.68,0.14,-0.66
OPM %,8.58%,8.48%,3.46%,2.46%,2.23%,0.88%,-1.87%
Other Income,0.04,0.00,0.02,0.04,0.52,0.88,1.40
  └─ Other income normal,0.04,0.00,0.02,0.04,0.52,0.88,1.40
Interest,0.33,0.19,0.12,0.36,0.20,0.14,0.14
Depreciation,0.05,0.05,0.05,0.05,0.04,0.03,0.03
Profit before tax,1.78,1.65,0.46,0.28,0.96,0.85,0.57
Tax %,0.00%,11.52%,30.43%,-7.14%,22.92%,0.00%,31.58%
Net Profit,1.78,1.46,0.32,0.30,0.74,0.85,0.38
  └─ Profit excl Excep,1.78,1.46,0.32,0.30,0.74,0.85,0.38
  └─ Profit for PE,1.78,1.46,0.32,0.30,0.74,0.85,0.38
  └─ Profit for EPS,1.78,1.46,0.32,0.30,0.74,0.85,0.38
  └─ YOY Profit Growth %,,,,,-58.43%,-41.78%,18.75%
EPS in Rs,0.65,0.53,0.12,0.11,0.27,0.31,0.14
Raw PDF,,,,,,,
