Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,18.10,9.65,9.64,10.65,11.66,6.86,4.49,4.39,9.58,4.57,5.77,4.06,3.61
Expenses,11.91,7.90,7.49,10.12,9.02,4.78,2.59,3.48,6.84,2.38,4.11,3.29,2.36
  └─ Material Cost %,52.93%,75.54%,65.77%,86.57%,66.38%,54.37%,27.39%,59.91%,61.27%,29.10%,47.14%,53.45%,26.32%
  └─ Employee Cost %,0.61%,1.24%,1.24%,1.78%,1.72%,2.19%,5.35%,5.01%,2.30%,5.47%,3.99%,5.17%,9.14%
Operating Profit,6.19,1.75,2.15,0.53,2.64,2.08,1.90,0.91,2.74,2.19,1.66,0.77,1.25
OPM %,34.20%,18.13%,22.30%,4.98%,22.64%,30.32%,42.32%,20.73%,28.60%,47.92%,28.77%,18.97%,34.63%
Other Income,1.24,0.06,2.62,0.66,3.89,0.90,3.21,1.86,4.01,3.18,3.54,3.85,2.19
  └─ Other income normal,1.24,0.06,2.62,0.66,3.89,0.90,3.21,1.86,4.01,3.18,3.54,3.85,2.19
Interest,0.04,0.01,0.00,0.01,0.00,0.01,0.05,0.00,0.61,0.56,0.71,0.82,0.37
Depreciation,0.48,0.40,0.50,0.41,0.46,0.41,0.64,0.45,1.12,0.74,0.99,0.74,0.80
Profit before tax,6.91,1.40,4.27,0.77,6.07,2.56,4.42,2.32,5.02,4.07,3.50,3.06,2.27
Tax %,-2.17%,0.00%,25.76%,36.36%,11.04%,0.00%,23.08%,0.00%,16.33%,16.46%,17.71%,11.44%,28.19%
Net Profit,7.05,1.40,3.17,0.48,5.40,2.56,3.40,2.32,4.20,3.40,2.89,2.71,1.64
  └─ Minority share,-0.61,0.00,-0.38,0.00,-0.24,-0.27,0.00,-0.27,0.08,-0.11,-0.17,-0.17,-0.02
  └─ Profit excl Excep,7.05,1.40,3.17,0.48,5.40,2.56,3.40,2.32,4.20,3.40,2.89,2.71,1.64
  └─ Profit for PE,6.44,1.40,2.79,0.48,5.16,2.29,3.40,2.05,4.28,3.29,2.72,2.54,1.62
  └─ Profit for EPS,6.44,1.40,2.79,0.48,5.16,2.29,3.40,2.05,4.28,3.29,2.72,2.54,1.62
EPS in Rs,5.40,1.17,2.34,0.40,4.33,1.92,2.85,1.72,3.59,2.76,2.28,2.13,1.36
Raw PDF,,,,,,,,,,,,,
