Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,0.18,0.38,0.78,0.82,0.68,1.13,0.66,0.97,1.40,1.05,1.12,1.08,1.25
Expenses,0.79,0.50,0.29,0.79,0.73,1.31,0.94,0.88,1.06,0.65,1.22,0.70,1.08
  └─ Employee Cost %,244.44%,110.53%,46.15%,43.90%,58.82%,32.74%,62.12%,49.48%,40.00%,48.57%,50.00%,41.67%,42.40%
Operating Profit,-0.61,-0.12,0.49,0.03,-0.05,-0.18,-0.28,0.09,0.34,0.40,-0.10,0.38,0.17
OPM %,-338.89%,-31.58%,62.82%,3.66%,-7.35%,-15.93%,-42.42%,9.28%,24.29%,38.10%,-8.93%,35.19%,13.60%
Other Income,0.31,0.24,0.04,0.38,0.02,0.40,0.13,0.11,-1.40,0.18,0.19,0.09,0.08
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.56,0.00,0.00,0.00,0.00
  └─ Other income normal,0.31,0.24,0.04,0.38,0.02,0.40,0.13,0.11,0.16,0.18,0.19,0.09,0.08
Interest,0.27,0.13,0.11,0.10,0.08,0.06,0.05,0.05,0.03,0.02,0.01,0.00,0.00
Depreciation,0.13,0.09,0.20,0.14,0.14,0.12,0.19,0.11,0.22,0.17,0.05,0.04,0.04
Profit before tax,-0.70,-0.10,0.22,0.17,-0.25,0.04,-0.39,0.04,-1.31,0.39,0.03,0.43,0.21
Tax %,18.57%,0.00%,77.27%,58.82%,-36.00%,100.00%,5.13%,125.00%,16.03%,23.08%,333.33%,39.53%,52.38%
Net Profit,0.23,0.13,1.13,1.15,0.40,1.05,0.29,0.73,-0.69,1.07,0.56,0.99,0.66
  └─ Profit from Associates,1.05,0.22,1.08,1.09,0.57,1.04,0.69,0.74,0.84,0.77,0.63,0.73,0.57
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.31,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.23,0.13,1.13,1.15,0.40,1.05,0.29,0.73,0.62,1.07,0.56,0.99,0.66
  └─ Profit for PE,0.23,0.13,1.13,1.15,0.40,1.05,0.29,0.73,0.62,1.07,0.56,0.99,0.66
  └─ Profit for EPS,0.23,0.13,1.13,1.15,0.40,1.05,0.29,0.73,-0.69,1.07,0.56,0.99,0.66
EPS in Rs,0.18,0.10,0.87,0.88,0.31,0.81,0.22,0.56,-0.53,0.82,0.43,0.76,0.51
Raw PDF,,,,,,,,,,,,,
