Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,33.40,36.43,31.13,30.89,35.49,34.12,37.19
Expenses,31.46,33.85,27.31,30.25,32.21,33.06,34.19
  └─ Material Cost %,77%,76%,67%,77%,73%,78%,74%
  └─ Employee Cost %,10%,11%,13%,13%,11%,12%,11%
Operating Profit,1.94,2.58,3.82,0.64,3.28,1.06,3.00
OPM %,5.81%,7.08%,12.27%,2.07%,9.24%,3.11%,8.07%
Other Income,0.48,0.42,0.46,0.67,1.22,0.58,1.20
  └─ Other income normal,0.48,0.42,0.46,0.67,1.22,0.58,1.20
Interest,0.53,0.64,0.41,0.41,0.42,0.38,0.36
Depreciation,0.69,0.67,0.65,0.57,0.58,0.57,0.63
Profit before tax,1.20,1.69,3.22,0.33,3.50,0.69,3.21
Tax %,31.67%,30.77%,43.17%,33.33%,28.00%,28.99%,28.66%
Net Profit,1.63,1.50,2.07,0.26,2.85,0.79,2.56
  └─ Profit from Associates,0.80,0.33,0.23,0.04,0.33,0.29,0.28
  └─ Profit excl Excep,1.63,1.50,2.07,0.26,2.85,0.79,2.56
  └─ Profit for PE,1.63,1.50,2.07,0.26,2.85,0.79,2.56
  └─ Profit for EPS,1.63,1.50,2.07,0.26,2.85,0.79,2.56
EPS in Rs,1.14,1.05,1.51,0.19,2.08,0.58,1.87
Raw PDF,,,,,,,
