Metric,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,1,0,0,0,-0,0,0,0,94,313,525,2192,1741
  └─ YOY Sales Growth %,,,,,-114%,-32%,-34%,-83%,,,,,1750%
Expenses,1,0,0,0,-0,0,0,0,81,270,452,2038,1607
  └─ Material Cost %,92%,81%,82%,80%,,72%,80%,17%,82%,84%,83%,92%,91%
  └─ Employee Cost %,1%,5%,5%,6%,,4%,4%,17%,1%,0%,0%,0%,0%
Operating Profit,-0,0,0,0,0,0,0,0,13,43,73,154,134
OPM %,-7%,8%,5%,0%,,16%,0%,33%,14%,14%,14%,7%,8%
Other Income,0,0,0,0,0,0,0,0,1,1,0,4,8
  └─ Other income normal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.73,0.00,3.77,7.72
Interest,0,0,0,0,0,0,0,0,0,0,0,17,18
Depreciation,0,0,0,0,0,0,0,0,0,1,1,3,3
Profit before tax,-0,0,0,0,0,0,0,0,13,43,73,138,121
Tax %,40%,33%,50%,,,25%,,50%,0%,-0%,1%,15%,14%
Net Profit,-0,0,0,0,0,0,0,0,13,43,72,117,104
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,-15,0
  └─ Profit excl Excep,-0,0,0,0,0,0,0,0,13,43,72,117,104
  └─ Profit for PE,-0,0,0,0,0,0,0,0,13,43,72,102,104
  └─ Profit for EPS,-0,0,0,0,0,0,0,0,13,43,72,102,104
  └─ YOY Profit Growth %,,,,,100%,0%,-100%,,,,,,676%
EPS in Rs,,,0.01,0.00,0.00,0.02,0.00,0.02,11.02,0.27,0.45,0.64,0.65
Raw PDF,,,,,,,,,,,,,
