Metric,Jun 2014,Sep 2014,Dec 2014,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016
Sales,2.89,2.74,3.16,1.89,0.98,1.05,0.71,2.93,0.57,0.25
  └─ YOY Sales Growth %,,,,-35%,-64%,-67%,,55%,-42%,-76%
Expenses,6.26,4.80,4.93,2.42,1.95,1.56,0.49,2.85,0.83,0.75
  └─ Material Cost %,187%,134%,106%,109%,117%,71%,124%,82%,93%,64%
  └─ Employee Cost %,7%,7%,4%,10%,17%,16%,23%,4%,18%,40%
Operating Profit,-3.37,-2.06,-1.77,-0.53,-0.97,-0.51,0.22,0.08,-0.26,-0.50
OPM %,-116.61%,-75.18%,-56.01%,-28.04%,-98.98%,-48.57%,30.99%,2.73%,-45.61%,-200.00%
Other Income,0.04,0.00,0.20,-4.93,0.09,0.00,3.73,0.00,0.46,1.16
  └─ Exceptional items,0.00,0.00,0.00,-4.93,0.00,0.00,0.05,0.00,0.00,0.00
  └─ Other income normal,0.04,0.00,0.20,0.00,0.09,0.00,3.68,0.00,0.46,1.16
Interest,1.74,1.78,0.43,1.29,-0.23,0.03,0.00,0.00,0.01,0.00
Depreciation,1.42,1.46,1.47,1.43,1.45,1.45,2.06,1.58,1.60,1.60
Profit before tax,-6.49,-5.30,-3.47,-8.18,-2.10,-1.99,1.89,-1.50,-1.41,-0.94
Tax %,-1.54%,0.00%,-0.29%,0.00%,0.00%,0.00%,1.59%,0.00%,0.00%,0.00%
Net Profit,2.87,-8.22,-1.64,-17.51,7.45,-2.49,-0.06,0.32,5.49,5.10
  └─ Profit from Associates,9,-3,2,-9,10,-1,-2,2,7,6
  └─ Minority share,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,-5,0,0,0,0,0,0
  └─ Profit excl Excep,3,-8,-2,-13,7,-2,-0,0,5,5
  └─ Profit for PE,3,-8,-2,-13,7,-2,-0,0,5,5
  └─ Profit for EPS,3,-8,-2,-18,7,-2,-0,0,5,5
  └─ YOY Profit Growth %,,,,-526%,191%,-52%,,103%,-26%,305%
EPS in Rs,0.30,-0.83,-0.17,-1.77,0.75,-0.25,-0.01,0.03,0.55,0.52
Raw PDF,,,,,,,,,,
