Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,0.00,0.00,0.00,1.23,12.69,28.63,29.90,30.16,24.02,33.56,36.41,37.25
  └─ YOY Sales Growth %,,,,,,,,2352.03%,89.28%,17.22%,21.77%,23.51%
Interest,0.01,0.00,0.00,0.00,0.00,0.00,0.11,1.04,0.30,0.24,0.24,0.83
Expenses,0.34,-0.23,-0.07,1.35,11.07,22.24,24.29,21.80,21.40,25.61,28.50,31.89
  └─ Material Cost %,,,,102.44%,26.48%,23.44%,24.28%,25.00%,30.89%,34.77%,35.92%,37.88%
  └─ Employee Cost %,,,,0.00%,29.63%,1.15%,24.98%,54.18%,25.90%,18.41%,17.80%,18.93%
Financing Profit,-0.35,0.23,0.07,-0.12,1.62,6.39,5.50,7.32,2.32,7.71,7.67,4.53
Financing Margin %,,,,-9.76%,12.77%,22.32%,18.39%,24.27%,9.66%,22.97%,21.07%,12.16%
Other Income,0.02,0.19,0.00,0.00,-0.82,0.09,0.19,-1.25,0.12,0.18,0.05,0.24
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.84,0.00,0.00,-1.68,0.00,0.00,0.00,0.00
  └─ Other income normal,0.02,0.19,0.00,0.00,0.02,0.09,0.19,0.43,0.12,0.18,0.05,0.24
Depreciation,0.00,0.00,0.00,0.00,0.16,0.09,0.63,3.99,1.28,1.52,1.51,2.58
Profit before tax,-0.33,0.42,0.07,-0.12,0.64,6.39,5.06,2.08,1.16,6.37,6.21,2.19
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-6.73%,0.00%,0.00%,0.00%,-6.85%
Net Profit,-0.33,0.42,0.07,-0.12,0.64,6.39,5.06,2.22,1.17,6.37,6.21,2.35
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-0.84,0.00,0.00,-1.68,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-0.33,0.42,0.07,-0.12,1.48,6.39,5.06,3.90,1.17,6.37,6.21,2.35
  └─ Profit for PE,-0.33,0.42,0.07,-0.12,1.48,6.39,5.06,3.90,1.17,6.37,6.21,2.35
  └─ Profit for EPS,-0.33,0.42,0.07,-0.12,0.64,6.39,5.06,2.22,1.17,6.37,6.21,2.35
  └─ YOY Profit Growth %,,,,,548.48%,1421.43%,7128.57%,3350.00%,-20.95%,-0.31%,22.73%,-39.74%
EPS in Rs,-1.49,1.90,0.32,-0.54,0.18,1.78,1.41,0.62,0.33,1.78,1.63,0.62
Gross NPA %,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,
