Metric,Mar 2025,Dec 2025,Mar 2026
Sales,23.47,52.24,134.05
  └─ YOY Sales Growth %,,,471%
Expenses,19.29,48.69,123.86
  └─ Material Cost %,78%,90%,88%
  └─ Employee Cost %,0%,1%,3%
Operating Profit,4.18,3.55,10.19
OPM %,17.81%,6.80%,7.60%
Other Income,0.04,0.04,0.10
  └─ Other income normal,0.04,0.04,0.10
Interest,0.27,0.33,1.09
Depreciation,0.10,0.12,0.86
Profit before tax,3.85,3.14,8.34
Tax %,28.57%,24.52%,7.91%
Net Profit,2.74,2.36,7.68
  └─ Profit excl Excep,3,2,8
  └─ Profit for PE,3,2,8
  └─ Profit for EPS,3,2,8
  └─ YOY Profit Growth %,,,180%
EPS in Rs,2.79,2.19,1.82
Raw PDF,,,
