Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,46,50,61,78
Expenses,38,50,50,71
  └─ Material Cost %,62%,77%,65%,71%
  └─ Employee Cost %,14%,14%,11%,9%
Operating Profit,8,-1,11,8
OPM %,17%,-1%,17%,10%
Other Income,1,4,3,7
  └─ Other income normal,1.08,3.65,2.99,6.66
Interest,4,3,3,3
Depreciation,3,3,5,5
Profit before tax,2,-2,6,7
Tax %,7%,73%,6%,10%
Net Profit,2,-4,6,6
  └─ Minority share,2.20,0.79,-1.59,3.65
  └─ Profit excl Excep,1.94,-4.29,5.82,6.31
  └─ Profit for PE,4.14,-3.50,4.23,9.96
  └─ Profit for EPS,4.14,-3.50,4.23,9.96
EPS in Rs,2.19,-1.40,1.69,3.99
Raw PDF,,,,
