Metric,Jun 2024,Sep 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,985,999,965,970,923,952,1002
  └─ YOY Sales Growth %,,,,-1.53%,-7.63%,,3.84%
Expenses,666,669,600,595,547,590,617
  └─ Employee Cost %,0.82%,0.87%,0.86%,0.90%,0.96%,1.43%,1.01%
Operating Profit,319,330,364,375,376,362,385
OPM %,32%,33%,38%,39%,41%,38%,38%
Other Income,16,33,23,15,8,11,18
  └─ Other income normal,15.95,32.91,23.41,15.28,7.65,11.18,18.01
Interest,129,130,127,129,130,130,127
Depreciation,230,230,229,229,229,229,228
Profit before tax,-24,2,31,32,25,14,48
Tax %,4%,4%,0%,0%,0%,1%,0%
Net Profit,-25,2,31,32,25,14,48
  └─ Profit excl Excep,-25,2,31,32,25,14,48
  └─ Profit for PE,-25,2,31,32,25,14,48
  └─ Profit for EPS,-25,2,31,32,25,14,48
  └─ YOY Profit Growth %,,,,225%,1164%,,53%
EPS in Rs,-0.38,0.03,0.47,0.48,0.37,0.21,0.72
Raw PDF,,,,,,,
