Metric,Sep 2022,Sep 2023,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2022,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Dec 2024
Sales,66,69,80,140,55,51,,,,,,,
  └─ YOY Sales Growth %,,,24.64%,8.94%,,,,,,16.78%,42.95%,7.60%,104.01%
Expenses,55,60,73,111,54,53,,,,,,,
  └─ Material Cost %,47.14%,54.98%,57.51%,54.18%,51.34%,48.92%,,,,,,,
  └─ Employee Cost %,8.27%,10.05%,10.96%,7.01%,18.53%,21.04%,,,,,,,
Operating Profit,11,8,6,29,1,-2,,,,,,,
OPM %,16%,12%,8%,21%,1%,-4%,,,,,,,
Other Income,0,1,3,0,3,0,,,,,,,
  └─ Exceptional items,0.00,0.00,0.00,-0.03,0.00,-0.43,,,,,,,
  └─ Other income normal,0.44,0.71,2.77,0.10,2.81,0.60,,,,,,,
Interest,0,0,0,1,1,0,,,,,,,
Depreciation,1,1,2,2,2,3,,,,,,,
Profit before tax,10,8,7,26,0,-5,,,,,,,
Tax %,29%,31%,21%,30%,349%,-88%,,,,,,,
Net Profit,7,5,5,18,-1,-1,,,,,,,
  └─ Exceptional items AT,0.00,0.00,0.00,-0.02,0.00,-0.43,,,,,,,
  └─ Profit excl Excep,7.17,5.27,5.31,18.26,-1.02,-0.12,,,,,,,
  └─ Profit for PE,7.17,5.27,5.31,18.26,-1.02,-0.12,,,,,,,
  └─ Profit for EPS,7.17,5.27,5.31,18.24,-1.02,-0.55,,,,,,,
EPS in Rs,6.35,3.43,3.43,11.75,-0.66,-0.35,,,,,,,
Raw PDF,,,,,,,,,,,,,
