Metric,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019
Sales,0.15,2.97,1.97,3.87,2.24,4.43,6.24,13.79,10.43,7.42,4.21,3.62,1.11
  └─ YOY Sales Growth %,-99%,-80%,-84%,-55%,1393%,49%,217%,,,,,-74%,-89%
Expenses,2.27,2.88,1.95,3.81,1.66,4.23,6.02,13.59,10.35,7.32,4.12,3.41,1.11
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,90%,97%,99%,153%,0%,92%,99%
  └─ Employee Cost %,0%,4%,0%,0%,0%,4%,0%,1%,0%,0%,0%,1%,1%
Operating Profit,-2.12,0.09,0.02,0.06,0.58,0.20,0.22,0.20,0.08,0.10,0.09,0.21,0.00
OPM %,-1413.33%,3.03%,1.02%,1.55%,25.89%,4.51%,3.53%,1.45%,0.77%,1.35%,2.14%,5.80%,0.00%
Other Income,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.11,0.09,0.13,0.06
Depreciation,0.06,0.06,0.02,0.02,0.56,0.09,0.09,0.12,0.00,0.02,0.01,0.09,0.00
Profit before tax,-2.15,0.05,0.00,0.04,0.02,0.11,0.13,-0.01,0.03,-0.03,-0.01,-0.01,-0.06
Tax %,-29.77%,40.00%,,25.00%,-200.00%,27.27%,30.77%,-100.00%,33.33%,0.00%,0.00%,100.00%,0.00%
Net Profit,-1.51,0.04,0.00,0.03,0.06,0.08,0.09,0.00,0.02,-0.03,-0.01,-0.03,-0.06
  └─ Profit excl Excep,-2,0,0,0,0,0,0,0,0,-0,-0,-0,-0
  └─ Profit for PE,-2,0,0,0,0,0,0,0,0,-0,-0,-0,-0
  └─ Profit for EPS,-2,0,0,0,0,0,0,0,0,-0,-0,-0,-0
  └─ YOY Profit Growth %,-211%,-92%,-100%,-94%,104%,100%,,,,,,,-400%
EPS in Rs,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00
Raw PDF,,,,,,,,,,,,,
