Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,156,95,168,143,195,109,170,177,195,137,193,180,259
  └─ YOY Sales Growth %,9.26%,-33.50%,19.89%,22.69%,25.39%,14.15%,1.42%,23.08%,-0.10%,26.31%,13.32%,2.12%,33.05%
Expenses,131,85,150,131,176,97,163,158,166,122,162,143,196
  └─ Material Cost %,55.88%,50.38%,58.14%,62.19%,61.51%,53.06%,63.33%,62.43%,52.86%,54.05%,55.67%,47.85%,46.09%
  └─ Employee Cost %,9.32%,16.75%,11.04%,12.10%,10.10%,16.77%,12.68%,11.08%,10.85%,14.81%,11.92%,11.56%,9.47%
Operating Profit,25,10,18,12,19,11,8,18,29,15,31,38,63
OPM %,16%,11%,11%,8%,10%,10%,4%,10%,15%,11%,16%,21%,24%
Other Income,3,2,3,2,4,2,8,12,7,3,2,3,5
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.91,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,3.41,2.26,3.05,2.35,3.92,1.59,7.93,2.37,6.76,3.41,1.71,2.52,4.95
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,8,8,6,7,6,6,6,5,5,6,6,7,7
Profit before tax,20,5,14,8,17,7,9,25,31,13,26,33,62
Tax %,44%,77%,31%,12%,40%,82%,61%,21%,32%,24%,24%,24%,23%
Net Profit,11,1,10,7,11,1,4,20,21,10,20,26,48
  └─ Exceptional items AT,0,0,0,0,0,0,0,7,0,0,0,0,0
  └─ Profit excl Excep,11,1,10,7,11,1,4,13,21,10,20,26,48
  └─ Profit for PE,11,1,10,7,11,1,4,13,21,10,20,26,48
  └─ Profit for EPS,11,1,10,7,11,1,4,20,21,10,20,26,48
  └─ YOY Profit Growth %,4709%,-83%,86%,108%,-5%,3%,-65%,84%,100%,687%,474%,103%,126%
EPS in Rs,8.27,0.88,7.44,5.12,7.86,0.91,2.63,14.66,15.71,7.18,15.06,19.14,35.54
Raw PDF,,,,,,,,,,,,,
