Metric,Sep 2025,Dec 2025,Mar 2026
Sales,44.87,41.96,39.16
Expenses,41.41,38.30,35.46
  └─ Material Cost %,74%,75%,71%
  └─ Employee Cost %,3%,3%,4%
Operating Profit,3.46,3.66,3.70
OPM %,7.71%,8.72%,9.45%
Other Income,0.02,0.04,0.02
  └─ Other income normal,0.02,0.04,0.02
Interest,0.82,0.98,0.72
Depreciation,0.46,0.45,0.48
Profit before tax,2.20,2.27,2.52
Tax %,25.00%,25.99%,24.21%
Net Profit,1.65,1.68,1.92
  └─ Profit excl Excep,1.65,1.68,1.92
  └─ Profit for PE,1.65,1.68,1.92
  └─ Profit for EPS,1.65,1.68,1.92
EPS in Rs,1.47,1.49,1.71
Raw PDF,,,
