Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Mar 2026
Sales,27.41,28.18,29.75,26.15,23.34,26.04,27.68,24.95,22.54,23.00,25.40,25.75,26.55
  └─ YOY Sales Growth %,-23.54%,-18.70%,-16.39%,-10.69%,-14.85%,-7.59%,-6.96%,-4.59%,-3.43%,-11.67%,-8.24%,3.21%,15.43%
Expenses,24.34,23.72,27.59,23.63,18.97,22.59,24.40,21.36,19.56,19.26,22.59,21.66,22.03
  └─ Material Cost %,78%,65%,85%,78%,69%,78%,74%,73%,72%,71%,72%,71%,70%
  └─ Employee Cost %,4%,3%,4%,4%,6%,5%,5%,6%,8%,7%,6%,6%,6%
Operating Profit,3.07,4.46,2.16,2.52,4.37,3.45,3.28,3.59,2.98,3.74,2.81,4.09,4.52
OPM %,11.20%,15.83%,7.26%,9.64%,18.72%,13.25%,11.85%,14.39%,13.22%,16.26%,11.06%,15.88%,17.02%
Other Income,0.38,0.73,0.41,0.43,0.51,0.75,0.60,0.82,0.76,0.59,0.99,0.70,2.48
  └─ Other income normal,0.38,0.73,0.41,0.43,0.51,0.75,0.60,0.82,0.76,0.59,0.99,0.70,2.48
Interest,0.10,0.59,0.27,0.34,0.24,2.02,0.21,0.17,0.17,1.49,0.18,0.77,0.43
Depreciation,0.58,0.34,0.42,0.42,0.89,1.80,1.41,1.50,1.68,1.89,1.65,1.66,2.36
Profit before tax,2.77,4.26,1.88,2.19,3.75,0.38,2.26,2.74,1.89,0.95,1.97,2.36,4.21
Tax %,18.41%,33.10%,-1.60%,44.75%,25.07%,-213.16%,32.30%,31.02%,26.46%,58.95%,25.89%,25.42%,34.44%
Net Profit,2.27,2.87,2.01,1.14,2.81,1.18,1.53,1.88,1.39,0.39,1.45,1.77,2.76
  └─ Profit from Associates,0,0,0,-0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,2,3,2,1,3,1,2,2,1,0,1,2,3
  └─ Profit for PE,2,3,2,1,3,1,2,2,1,0,1,2,3
  └─ Profit for EPS,2,3,2,1,3,1,2,2,1,0,1,2,3
  └─ YOY Profit Growth %,-27%,-3%,-30%,-46%,24%,-59%,-24%,65%,-51%,-67%,-5%,-6%,608%
EPS in Rs,0.99,1.25,0.87,0.49,1.16,0.49,0.63,0.78,0.57,0.16,0.60,0.73,1.14
Raw PDF,,,,,,,,,,,,,
