Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,44.26,60.46,27.95,31.74,43.44,35.46,35.94,47.71,51.55,42.99,48.51,44.14,53.87
  └─ YOY Sales Growth %,40.11%,127.55%,7.54%,16.09%,-1.85%,-41.35%,28.59%,50.32%,18.67%,21.24%,34.97%,-7.48%,4.50%
Expenses,39.41,57.39,25.90,29.29,37.24,29.67,37.02,44.71,48.79,39.43,45.37,50.51,50.96
  └─ Material Cost %,55.06%,64.29%,21.22%,31.19%,37.55%,19.06%,36.03%,44.83%,48.75%,38.99%,50.55%,51.50%,38.41%
  └─ Employee Cost %,30.68%,27.92%,65.90%,55.73%,44.34%,59.79%,61.41%,44.33%,40.50%,47.50%,38.80%,55.55%,46.65%
Operating Profit,4.85,3.07,2.05,2.45,6.20,5.79,-1.08,3.00,2.76,3.56,3.14,-6.37,2.91
OPM %,10.96%,5.08%,7.33%,7.72%,14.27%,16.33%,-3.01%,6.29%,5.35%,8.28%,6.47%,-14.43%,5.40%
Other Income,0.20,0.22,0.56,0.23,0.53,0.27,12.31,0.44,0.23,0.47,94.22,0.72,2.13
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.55,0.00,0.00
  └─ Other income normal,0.20,0.22,0.56,0.23,0.53,0.27,12.31,0.44,0.23,0.47,0.67,0.72,2.13
Interest,0.24,0.34,0.35,0.33,0.40,0.52,0.99,0.51,0.58,0.54,0.71,0.54,0.98
Depreciation,0.37,0.27,0.30,0.33,0.49,0.75,0.79,0.70,0.79,0.71,0.84,1.08,0.63
Profit before tax,4.44,2.68,1.96,2.02,5.84,4.79,9.45,2.23,1.62,2.78,95.81,-7.27,3.43
Tax %,18.92%,31.72%,15.82%,15.35%,26.54%,22.34%,14.07%,18.39%,29.63%,21.22%,24.98%,2.20%,-161.22%
Net Profit,3.59,1.83,1.66,1.71,4.28,3.71,8.11,1.82,1.13,2.18,71.88,-7.42,8.96
  └─ Minority share,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,70,0,0
  └─ Profit excl Excep,4,2,2,2,4,4,8,2,1,2,2,-7,9
  └─ Profit for PE,3,2,2,2,4,4,8,2,1,2,2,-7,9
  └─ Profit for EPS,3,2,2,2,4,4,8,2,1,2,72,-7,9
  └─ YOY Profit Growth %,1481%,12%,39%,-40%,25%,95%,412%,2%,-71%,-40%,-80%,-520%,645%
EPS in Rs,0.60,0.33,0.30,0.31,0.74,0.63,1.49,0.31,0.22,0.37,12.75,-1.29,1.61
Raw PDF,,,,,,,,,,,,,
