Metric,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015
Sales,0.51,0.46,0.40,0.47,0.63,1.07,0.80,0.55,0.78,0.61,0.54,0.60,0.61
  └─ YOY Sales Growth %,,,-13.04%,-17.54%,23.53%,127.66%,26.98%,,,-42.99%,-32.50%,9.09%,-21.79%
Expenses,0.03,0.60,0.15,0.12,0.24,0.46,0.31,0.50,0.26,0.18,0.10,0.55,0.38
  └─ Employee Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.25%,34.55%,7.69%,14.75%,3.70%,1.67%,1.64%
Operating Profit,0.48,-0.14,0.25,0.35,0.39,0.61,0.49,0.05,0.52,0.43,0.44,0.05,0.23
OPM %,94.12%,-30.43%,62.50%,74.47%,61.90%,57.01%,61.25%,9.09%,66.67%,70.49%,81.48%,8.33%,37.70%
Other Income,0.00,0.00,0.01,0.03,0.01,0.00,0.01,0.06,0.00,0.02,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.01,0.03,0.01,0.00,0.01,0.06,0.00,0.02,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
Depreciation,0.02,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,1.39,0.11,0.11,0.11
Profit before tax,0.46,-0.16,0.24,0.37,0.24,0.61,0.50,0.09,0.52,-0.94,0.33,-0.06,0.12
Tax %,32.61%,0.00%,41.67%,51.35%,29.17%,50.82%,32.00%,22.22%,30.77%,-24.47%,30.30%,0.00%,25.00%
Net Profit,0.31,-0.28,0.14,0.17,0.16,0.30,0.34,0.07,0.35,-0.71,0.23,-0.07,0.08
  └─ Profit excl Excep,0,-0,0,0,0,0,0,0,0,-1,0,-0,0
  └─ Profit for PE,0,-0,0,0,0,0,0,0,0,-1,0,-0,0
  └─ Profit for EPS,0,-0,0,0,0,0,0,0,0,-1,0,-0,0
  └─ YOY Profit Growth %,,,150%,-15%,-48%,76%,112%,,,-337%,-32%,-200%,-77%
EPS in Rs,10.33,-9.33,4.67,5.67,5.33,10.00,11.33,2.33,11.67,-23.67,7.67,-2.33,2.67
Raw PDF,,,,,,,,,,,,,
