Metric,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,27.59,91.93,19.07,23.63,22.96
  └─ YOY Sales Growth %,,,,,-16.78%
Expenses,28.42,74.12,25.61,32.07,24.15
  └─ Material Cost %,48.75%,60.11%,50.97%,76.34%,37.98%
  └─ Employee Cost %,26.75%,8.35%,37.13%,36.52%,18.29%
Operating Profit,-0.83,17.81,-6.54,-8.44,-1.19
OPM %,-3.01%,19.37%,-34.29%,-35.72%,-5.18%
Other Income,2.06,2.25,1.14,2.94,0.69
  └─ Other income normal,2.06,2.25,1.14,2.94,0.69
Interest,1.02,1.16,1.35,1.09,0.93
Depreciation,0.97,1.18,0.85,0.68,1.16
Profit before tax,-0.76,17.72,-7.60,-7.27,-2.59
Tax %,77.63%,30.70%,-32.89%,-27.51%,250.97%
Net Profit,-1.35,12.28,-5.09,-5.27,-9.09
  └─ Profit excl Excep,-1,12,-5,-5,-9
  └─ Profit for PE,-1,12,-5,-5,-9
  └─ Profit for EPS,-1,12,-5,-5,-9
  └─ YOY Profit Growth %,,,,,-573%
EPS in Rs,-2.91,26.48,-10.98,-11.37,-19.60
Raw PDF,,,,,
