Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,770.43,790.92,801.51,797.23,857.48,862.53,864.80
  └─ YOY Sales Growth %,,,,,11.30%,9.05%,7.90%
Expenses,747.86,770.18,796.76,785.56,840.13,838.55,839.67
  └─ Material Cost %,7%,6%,7%,7%,8%,8%,8%
  └─ Employee Cost %,77%,78%,79%,80%,80%,78%,80%
Operating Profit,22.57,20.74,4.75,11.67,17.35,23.98,25.13
OPM %,2.93%,2.62%,0.59%,1.46%,2.02%,2.78%,2.91%
Other Income,2.13,-154.37,-5.75,-0.40,5.29,-27.76,1.11
  └─ Exceptional items,0.00,-155.55,-6.17,-1.27,0.00,-29.89,-5.48
  └─ Other income normal,2.13,1.18,0.42,0.87,5.29,2.13,6.59
Interest,11.73,6.90,7.93,7.49,7.79,11.06,7.48
Depreciation,11.53,11.45,11.47,12.29,12.69,11.21,10.80
Profit before tax,1.44,-151.98,-20.40,-8.51,2.16,-26.05,7.96
Tax %,-24.31%,4.05%,13.92%,-15.86%,-62.96%,-10.79%,51.88%
Net Profit,1.78,-158.13,-23.24,-7.15,3.52,-23.24,3.82
  └─ Minority share,2,1,4,2,2,3,0
  └─ Exceptional items AT,0,-146,-4,-1,0,-28,-2
  └─ Profit excl Excep,2,-12,-19,-6,4,5,6
  └─ Profit for PE,4,-12,-16,-4,5,4,6
  └─ Profit for EPS,4,-157,-20,-5,5,-20,4
  └─ YOY Profit Growth %,,,,,36%,137%,137%
EPS in Rs,,,,-0.32,0.35,-1.34,0.28
Raw PDF,,,,,,,
