Metric,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Dec 2014,Mar 2015
Sales,21.20,17.77,21.58,21.97,22.67,19.51,16.61,15.67,20.27,12.35,15.09,12.74,8.34
  └─ YOY Sales Growth %,-14.34%,-13.32%,-4.93%,14.73%,6.93%,9.79%,-23.03%,-28.68%,-10.59%,-36.70%,-9.15%,3.16%,-44.73%
Expenses,18.08,14.76,18.52,17.59,19.34,17.52,14.89,12.97,15.42,8.97,11.29,9.13,6.99
  └─ Material Cost %,50.71%,43.11%,53.48%,45.02%,51.74%,54.33%,46.72%,37.65%,42.67%,23.16%,17.30%,18.52%,3.96%
  └─ Employee Cost %,20.33%,23.19%,17.38%,19.85%,20.95%,22.25%,26.61%,28.21%,19.09%,29.88%,24.78%,32.50%,46.64%
Operating Profit,3.12,3.01,3.06,4.38,3.33,1.99,1.72,2.70,4.85,3.38,3.80,3.61,1.35
OPM %,14.72%,16.94%,14.18%,19.94%,14.69%,10.20%,10.36%,17.23%,23.93%,27.37%,25.18%,28.34%,16.19%
Other Income,-0.16,-0.59,0.37,0.09,-0.50,0.39,0.39,0.30,0.19,0.48,0.17,0.23,0.38
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,-0.16,-0.59,0.37,0.09,0.28,0.39,0.39,0.30,0.19,0.48,0.17,0.23,0.38
Interest,0.45,0.70,0.95,1.72,1.21,1.44,1.26,1.14,1.50,1.08,0.99,1.03,0.98
Depreciation,2.29,2.34,2.48,3.06,3.89,3.12,1.78,2.96,2.96,2.70,2.34,2.75,1.87
Profit before tax,0.22,-0.62,0.00,-0.31,-2.27,-2.18,-0.93,-1.10,0.58,0.08,0.64,0.06,-1.12
Tax %,27.27%,-32.26%,,3.23%,0.00%,-33.49%,-46.24%,-27.27%,29.31%,25.00%,-1.56%,16.67%,-19.64%
Net Profit,0.16,-0.42,0.02,-0.32,-2.27,-1.45,-0.49,-0.80,0.41,0.06,0.66,0.05,-0.90
  └─ Exceptional items AT,0,0,0,0,-1,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,0,-0,0,-0,-1,-1,-0,-1,0,0,1,0,-1
  └─ Profit for PE,0,-0,0,-0,-1,-1,-0,-1,0,0,1,0,-1
  └─ Profit for EPS,0,-0,0,-0,-2,-1,-0,-1,0,0,1,0,-1
  └─ YOY Profit Growth %,-89%,-202%,-98%,-141%,-1031%,-245%,-2550%,-150%,128%,104%,235%,-17%,-236%
EPS in Rs,0.03,-0.09,0.00,-0.07,-0.49,-0.31,-0.11,-0.17,0.09,0.01,0.14,0.01,-0.20
Raw PDF,,,,,,,,,,,,,
