Metric,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019
Sales,349,360,387,357,344,250,267,92,69,56,29,13,12
  └─ YOY Sales Growth %,85%,15%,33%,33%,-1%,-31%,-31%,,,,,-86%,-83%
Expenses,321,355,361,351,377,289,279,91,83,67,61,27,27
  └─ Material Cost %,62%,54%,67%,67%,74%,72%,75%,69%,69%,58%,37%,21%,4%
  └─ Employee Cost %,10%,10%,13%,11%,11%,12%,10%,18%,23%,27%,58%,98%,114%
Operating Profit,28,5,26,6,-33,-39,-12,1,-14,-11,-33,-14,-16
OPM %,8%,1%,7%,2%,-10%,-16%,-4%,1%,-20%,-20%,-113%,-109%,-133%
Other Income,12,17,7,16,3,2,-1,2,8,-2,41,4,6
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-12.72,0.00,6.82,-1.66,0.00,0.00,0.00
  └─ Other income normal,12.44,16.87,7.20,16.45,3.44,1.95,11.67,1.66,1.35,0.16,41.26,3.61,6.44
Interest,24,24,26,25,24,25,24,6,6,2,5,6,1
Depreciation,20,19,19,20,20,20,20,3,3,2,2,2,2
Profit before tax,-3,-21,-12,-22,-73,-83,-57,-6,-14,-18,1,-19,-13
Tax %,-97%,-26%,-15%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%
Net Profit,-0,-16,-11,-22,-73,-83,-65,-6,-14,-18,1,-19,-13
  └─ Minority share,0.72,0.18,0.71,1.43,1.83,2.08,1.69,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,-10.86,0.00,6.82,-1.66,0.00,0.00,0.00
  └─ Profit excl Excep,-0.24,-15.80,-10.54,-22.26,-72.72,-82.92,-54.45,-5.53,-21.20,-15.93,1.13,-18.57,-12.87
  └─ Profit for PE,0.48,-15.62,-9.83,-20.83,-70.89,-80.84,-53.04,-5.53,-21.20,-15.93,1.13,-18.57,-12.87
  └─ Profit for EPS,0.48,-15.62,-9.83,-20.83,-70.89,-80.84,-63.62,-5.53,-14.38,-17.59,1.13,-18.57,-12.87
  └─ YOY Profit Growth %,-76.00%,-324.75%,-218.12%,-744.89%,-14868.75%,-417.54%,-439.58%,,,,,-235.80%,39.29%
EPS in Rs,0.07,-2.19,-1.38,-2.91,-9.92,-11.31,-8.90,-0.62,-1.60,-1.96,0.13,-2.07,-1.43
Raw PDF,,,,,,,,,,,,,
