Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,21.45,15.83,18.04,14.88,11.35,56.34,10.61,27.80,29.23,48.74,47.76,71.68,16.58
  └─ YOY Sales Growth %,-65.06%,-78.63%,-66.76%,-43.93%,-47.09%,255.91%,-41.19%,86.83%,157.53%,-13.49%,350.14%,157.84%,-43.28%
Expenses,20.22,15.83,13.71,15.39,11.38,59.76,10.51,26.68,28.71,47.81,47.51,71.17,16.07
  └─ Material Cost %,78%,63%,65%,52%,90%,101%,87%,94%,95%,92%,95%,96%,90%
  └─ Employee Cost %,4%,5%,4%,4%,6%,1%,3%,1%,2%,1%,1%,1%,4%
Operating Profit,1.23,0.00,4.33,-0.51,-0.03,-3.42,0.10,1.12,0.52,0.93,0.25,0.51,0.51
OPM %,5.73%,0.00%,24.00%,-3.43%,-0.26%,-6.07%,0.94%,4.03%,1.78%,1.91%,0.52%,0.71%,3.08%
Other Income,0.91,1.71,0.83,0.30,0.45,3.88,1.22,0.26,0.73,-0.13,0.35,0.29,0.66
  └─ Other income normal,0.91,1.71,0.83,0.30,0.45,3.88,1.22,0.26,0.73,-0.13,0.35,0.29,0.66
Interest,1.11,1.44,0.69,0.22,0.00,-0.02,0.00,0.20,0.18,0.19,0.14,0.14,0.05
Depreciation,0.16,0.27,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.11,0.11
Profit before tax,0.87,0.00,4.33,-0.57,0.28,0.34,1.18,1.04,0.93,0.50,0.35,0.55,1.01
Tax %,181.61%,,16.17%,-17.54%,-3.57%,1020.59%,13.56%,5.77%,35.48%,12.00%,34.29%,49.09%,27.72%
Net Profit,-0.71,-0.04,3.63,-0.48,0.29,-3.13,1.02,0.98,0.61,0.43,0.23,0.28,0.74
  └─ Profit excl Excep,-0.71,-0.04,3.63,-0.48,0.29,-3.13,1.02,0.98,0.61,0.43,0.23,0.28,0.74
  └─ Profit for PE,-0.71,-0.04,3.63,-0.48,0.29,-3.13,1.02,0.98,0.61,0.43,0.23,0.28,0.74
  └─ Profit for EPS,-0.71,-0.04,3.63,-0.48,0.29,-3.13,1.02,0.98,0.61,0.43,0.23,0.28,0.74
  └─ YOY Profit Growth %,-163.96%,-100.82%,-36.20%,-420.00%,140.85%,-7725.00%,-71.90%,304.17%,110.34%,113.74%,-77.45%,-71.43%,21.31%
EPS in Rs,-0.26,-0.01,1.31,-0.17,0.10,-1.13,0.37,0.35,0.22,0.15,0.08,0.10,0.27
Raw PDF,,,,,,,,,,,,,
