Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,394,443,533,560,655,716,784,877,1116,846,823,878,1030
  └─ YOY Sales Growth %,53.48%,60.04%,74.26%,67.60%,66.05%,61.46%,46.99%,56.59%,70.46%,18.19%,5.02%,0.10%,-7.75%
Expenses,260,293,299,348,314,483,467,552,673,641,647,626,751
  └─ Material Cost %,3.90%,6.24%,7.40%,5.71%,2.44%,5.28%,2.54%,4.90%,1.34%,5.46%,2.10%,4.09%,4.88%
  └─ Employee Cost %,31.46%,31.39%,26.03%,25.69%,23.53%,23.43%,20.62%,20.12%,17.18%,23.62%,25.10%,20.83%,16.63%
Operating Profit,135,150,234,212,341,233,317,326,443,205,176,252,278
OPM %,34%,34%,44%,38%,52%,33%,40%,37%,40%,24%,21%,29%,27%
Other Income,7,7,4,34,3,9,84,17,58,195,276,55,225
  └─ Exceptional items,0,0,0,-0,0,0,0,0,0,0,0,-5,206
  └─ Other income normal,7,7,4,34,3,9,84,17,58,195,276,60,19
Interest,164,213,243,268,299,344,363,417,440,450,459,439,419
Depreciation,9,13,17,19,23,23,23,27,38,31,24,32,61
Profit before tax,-30,-68,-20,-40,22,-125,15,-101,23,-81,-32,-164,23
Tax %,-32%,-6%,39%,-55%,-77%,-3%,49%,-42%,-7%,33%,-73%,-18%,235%
Net Profit,-21,-64,-28,-18,39,-122,8,-59,24,-107,-8,-135,-31
  └─ Minority share,-12,15,5,-10,-38,31,-31,6,-45,93,-32,37,45
  └─ Exceptional items AT,0,0,0,-0,0,0,0,0,0,0,0,-5,152
  └─ Profit excl Excep,-21,-64,-28,-18,39,-122,8,-59,24,-107,-8,-130,-183
  └─ Profit for PE,-33,-49,-23,-28,2,-91,-24,-52,-20,-14,-41,-94,-138
  └─ Profit for EPS,-33,-49,-23,-28,2,-91,-24,-52,-20,-14,-41,-97,14
  └─ YOY Profit Growth %,74%,29%,-36%,3%,105%,-84%,-0%,-88%,-1373%,85%,-73%,-79%,-573%
EPS in Rs,-0.78,-1.19,-0.56,-0.67,0.04,-2.19,-0.57,-1.26,-0.49,-0.33,-0.88,-2.12,0.28
Raw PDF,,,,,,,,,,,,,
