Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,111,106,66,68,116,80,58,75,159,108,74,80,177
  └─ YOY Sales Growth %,43.12%,22.94%,-8.35%,23.75%,4.90%,-23.95%,-12.42%,10.35%,36.24%,34.91%,27.60%,6.60%,11.40%
Expenses,131,86,63,45,65,57,52,66,94,79,62,71,124
  └─ Material Cost %,30.61%,21.96%,12.66%,11.19%,20.97%,21.39%,13.30%,14.40%,17.57%,16.90%,8.61%,10.15%,22.36%
  └─ Employee Cost %,24.52%,23.73%,35.85%,36.65%,18.91%,31.46%,47.31%,52.86%,25.58%,40.06%,57.78%,52.42%,19.95%
Operating Profit,-20,19,3,22,51,24,7,9,65,30,12,9,53
OPM %,-18%,18%,5%,33%,44%,30%,11%,11%,41%,27%,16%,11%,30%
Other Income,-257,11,-5,-5,145,4,6,7,-12,1,5,4,36
  └─ Exceptional items,-265.17,0.00,-14.51,0.00,138.46,0.00,0.00,0.00,-15.97,-3.53,0.00,0.00,31.01
  └─ Other income normal,8.38,10.66,9.23,-4.52,6.55,3.77,6.34,6.91,3.58,4.20,5.33,3.85,5.05
Interest,11,12,9,11,10,11,8,10,10,13,13,1,11
Depreciation,8,7,7,6,4,8,8,9,10,11,11,10,12
Profit before tax,-296,11,-17,0,182,8,-4,-3,32,7,-6,1,66
Tax %,0%,42%,5%,688%,7%,56%,4%,21%,47%,72%,6%,468%,31%
Net Profit,-298,7,-18,-2,169,4,-4,-4,17,2,-6,-3,45
  └─ Minority share,12.72,1.92,2.10,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,-261.51,0.00,-13.76,0.00,128.65,0.00,0.00,0.00,-8.52,-0.97,0.00,0.00,21.10
  └─ Profit excl Excep,-36.12,6.56,-4.55,-1.94,40.73,3.64,-4.03,-3.76,25.39,2.87,-6.14,-2.65,24.32
  └─ Profit for PE,-34.58,8.48,-4.03,1.09,40.73,3.64,-4.03,-3.76,25.39,2.87,-6.14,-2.65,24.32
  └─ Profit for EPS,-284.91,8.48,-16.21,1.09,169.38,3.64,-4.03,-3.76,16.87,1.90,-6.14,-2.65,45.42
  └─ YOY Profit Growth %,-69252.63%,2020.00%,-286.49%,114.12%,217.80%,-57.08%,-0.05%,-444.95%,-37.66%,-21.15%,-52.36%,29.52%,-4.21%
EPS in Rs,-8.74,0.26,-0.50,0.03,5.19,0.11,-0.12,-0.11,0.52,0.06,-0.19,-0.08,1.39
Raw PDF,,,,,,,,,,,,,
